,strain,num_similar,ids
80,1145734,2,"['1145734_opa_9', '1145734_opa_7']"
81,2004S05-027,2,"['2004S05-027_opa_8', '2004S05-027_opa_11']"
82,2004S05-027,2,"['2004S05-027_opa_6', '2004S05-027_opa_5']"
83,2010C02-038,2,"['2010C02-038_opa_6', '2010C02-038_opa_10']"
84,2010C02-038,2,"['2010C02-038_opa_11', '2010C02-038_opa_7']"
85,2010C02-038,2,"['2010C02-038_opa_3', '2010C02-038_opa_2']"
86,2010C02-038,2,"['2010C02-038_opa_5', '2010C02-038_opa_4']"
87,2014E02-242,4,"['2014E02-242_opa_8', '2014E02-242_opa_2', '2014E02-242_opa_11', '2014E02-242_opa_3']"
88,2016E02-233,2,"['2016E02-233_opa_10', '2016E02-233_opa_8']"
89,20181204,2,"['20181204_opa_8', '20181204_opa_4']"
90,20181204,2,"['20181204_opa_7', '20181204_opa_9']"
91,2018C07-301,2,"['2018C07-301_opa_1', '2018C07-301_opa_11']"
92,2018C07-301,2,"['2018C07-301_opa_6', '2018C07-301_opa_2']"
93,2018C07-301,2,"['2018C07-301_opa_9', '2018C07-301_opa_7']"
94,2018S05-288,2,"['2018S05-288_opa_2', '2018S05-288_opa_3']"
95,2020N07-265,3,"['2020N07-265_opa_3', '2020N07-265_opa_10', '2020N07-265_opa_8']"
96,2020N08-318,2,"['2020N08-318_opa_10', '2020N08-318_opa_4']"
97,2020N08-318,3,"['2020N08-318_opa_6', '2020N08-318_opa_3', '2020N08-318_opa_2']"
98,2020N08-318,2,"['2020N08-318_opa_8', '2020N08-318_opa_5']"
99,2020S05-258,2,"['2020S05-258_opa_1', '2020S05-258_opa_3']"
100,2020S05-258,2,"['2020S05-258_opa_2', '2020S05-258_opa_10']"
101,2022NG-0032,2,"['2022NG-0032_opa_1', '2022NG-0032_opa_3']"
102,2022NG-0032,2,"['2022NG-0032_opa_2', '2022NG-0032_opa_10']"
103,2022NG-0032,3,"['2022NG-0032_opa_8', '2022NG-0032_opa_6', '2022NG-0032_opa_4']"
104,2022NG-0076,2,"['2022NG-0076_opa_5', '2022NG-0076_opa_1']"
105,2022NG-0076,2,"['2022NG-0076_opa_9', '2022NG-0076_opa_2']"
106,2022NG-0076,2,"['2022NG-0076_opa_8', '2022NG-0076_opa_4']"
107,25818_3#234,2,"['25818_3#234_opa_2', '25818_3#234_opa_1']"
108,25818_3#234,2,"['25818_3#234_opa_11', '25818_3#234_opa_8']"
109,9035,2,"['9035_opa_1', '9035_opa_6']"
110,9035,3,"['9035_opa_3', '9035_opa_10', '9035_opa_5']"
111,9071,2,"['9071_opa_8', '9071_opa_1']"
112,9071,2,"['9071_opa_4', '9071_opa_9']"
113,9071,2,"['9071_opa_7', '9071_opa_6']"
114,9112,3,"['9112_opa_1', '9112_opa_4', '9112_opa_8']"
115,9112,2,"['9112_opa_5', '9112_opa_6']"
116,9126,3,"['9126_opa_6', '9126_opa_1', '9126_opa_8']"
117,9126,2,"['9126_opa_2', '9126_opa_9']"
118,9126,2,"['9126_opa_3', '9126_opa_7']"
119,9343,2,"['9343_opa_1', '9343_opa_2']"
120,9343,2,"['9343_opa_9', '9343_opa_4']"
121,9343,3,"['9343_opa_8', '9343_opa_6', '9343_opa_7']"
122,9399,2,"['9399_opa_2', '9399_opa_1']"
123,9399,3,"['9399_opa_4', '9399_opa_9', '9399_opa_10']"
124,9399,2,"['9399_opa_6', '9399_opa_8']"
125,9431,2,"['9431_opa_5', '9431_opa_3']"
126,9460,2,"['9460_opa_4', '9460_opa_2']"
127,9460,2,"['9460_opa_5', '9460_opa_3']"
128,9464,2,"['9464_opa_2', '9464_opa_4']"
129,9464,2,"['9464_opa_3', '9464_opa_5']"
130,96MB,2,"['96MB_opa_5', '96MB_opa_1']"
131,96MB,2,"['96MB_opa_8', '96MB_opa_10']"
132,AT159,2,"['AT159_opa_3', 'AT159_opa_11']"
133,AT159,2,"['AT159_opa_9', 'AT159_opa_7']"
134,ATCC49226,3,"['ATCC49226_opa_6', 'ATCC49226_opa_3', 'ATCC49226_opa_8']"
135,AUNG1065,3,"['AUNG1065_opa_11', 'AUNG1065_opa_8', 'AUNG1065_opa_1']"
136,AUNG1065,4,"['AUNG1065_opa_6', 'AUNG1065_opa_7', 'AUNG1065_opa_5', 'AUNG1065_opa_10']"
137,AUNG1065,2,"['AUNG1065_opa_2', 'AUNG1065_opa_9']"
138,AUNG1251,2,"['AUNG1251_opa_4', 'AUNG1251_opa_9']"
139,AUNG1251,2,"['AUNG1251_opa_8', 'AUNG1251_opa_6']"
140,AUNG1291,2,"['AUNG1291_opa_1', 'AUNG1291_opa_3']"
141,AUNG1291,3,"['AUNG1291_opa_6', 'AUNG1291_opa_8', 'AUNG1291_opa_10']"
142,AUNG1291,2,"['AUNG1291_opa_9', 'AUNG1291_opa_4']"
143,AUSMDU00010541,2,"['AUSMDU00010541_opa_9', 'AUSMDU00010541_opa_4']"
144,BJ16148,2,"['BJ16148_opa_11', 'BJ16148_opa_1']"
145,BJ16148,2,"['BJ16148_opa_5', 'BJ16148_opa_3']"
146,BJ16148,2,"['BJ16148_opa_8', 'BJ16148_opa_4']"
147,BJ16148,2,"['BJ16148_opa_6', 'BJ16148_opa_9']"
148,CCC010,2,"['CCC010_opa_1', 'CCC010_opa_5']"
149,CCC010,4,"['CCC010_opa_6', 'CCC010_opa_11', 'CCC010_opa_2', 'CCC010_opa_8']"
