strain	opaA_sv	opaA_hv1	opaA_hv2	opaB_sv	opaB_hv1	opaB_hv2	opaC_sv	opaC_hv1	opaC_hv2	opaD_sv	opaD_hv1	opaD_hv2	opaE_sv	opaE_hv1	opaE_hv2	opaF_sv	opaF_hv1	opaF_hv2	opaG_sv	opaG_hv1	opaG_hv2	opaH_sv	opaH_hv1	opaH_hv2	opaI_sv	opaI_hv1	opaI_hv2	opaJ_sv	opaJ_hv1	opaJ_hv2	opaK_sv	opaK_hv1	opaK_hv2
TFG-A2	1	5	1	1	2	3	1	9	6	1	1	2	1	12	1	1	1	2	1	1	2	1	1	2	4	12	1	1	1	2	1	12	1
TFG-B2	1	5	1	2	2	3	1	9	6	1	1	2	1	1	2	1	1	2	1	1	2	1	9	6	1	12	1	1	1	2	1	9	6
TH1713	2	1	6	2	1	9	2	1	5	5	7	1	1	7	1	5	10	1	2	1	5	5	1	6	2	10	1	2	1	5	5	10	1
TH2288	2	1	6	2	1	9	2	1	5	5	7	1	1	7	1	5	10	1	2	1	5	5	1	6	2	10	1	2	1	5	5	10	1
TUM15748	2	1	2	2	1	7	1	13	6	2	1	2	2	1	2	3	2	3	2	3	4	2	3	4				2	1	2	2	1	2
TUM16691	1	1	2	1	4	2	1	18	3	1	4	5	1	2	3	1	4	2	2	9	5	1	1	5	3	2	3	2	4	2	1	1	5
UMASS-DGI_1	1	3	5	1	6	8	1	10	1	1	19	9	1	6	8	3	2	3	2	14	9	1	5	1	1	12	1	2	3	4	1	10	1
UMASS-DGI_26	1	11	3	2	14	1	3	14	9	1	2	7	2	2	1	1	5	1	2	14	2	1	11	3	2	14	2	1	1	6			
UMASS-DGI_36	3	2	3				3	6	8	1	2	7	3	6	8	3	2	3	2	3	4	3	2	3	1	10	3	1	1	5	2	3	4
UMASS-DGI_40	1	2	3				3	14	9	1	2	7	2	6	8	3	2	3	2	3	4	1	10	3	1	10	3	2	1	5	1	10	3
UMASS-DGI_46	1	16	2	3	16	2	1	5	1	1	2	2	1	13	3	1	13	2	2	4	2	1	13	3	1	4	2	1	19	9	1	13	3
UMASS-DGI_5	1	4	2	1	4	2	3	2	3	1	1	2	1	1	6	3	5	1	1	5	1	1	5	1	3	2	1	1	1	6	1	1	6
UMASS-DGI_54	1	4	2	1	4	2	3	2	3	1	1	2	1	1	6	3	5	1	1	5	1	1	1	2	3	2	1	1	1	6	1	1	2
UMASS-DGI_65	1	5	1	2	5	1	3	14	9	1	5	7	2	2	1	1	5	1	2	14	2	1	11	3	2	14	2	1	1	6			
UMASS-DGI_9	1	5	1	1	8	9	1	5	1	2	5	1	2	4	2	2	1	4	2	9	5	2	9	5	2	5	1	2	5	1	2	9	5
WHO_A_2024	1	14	3	1	14	9	1	8	9	1	2	1	3	1	6	1	2	1	1	5	1	1	2	3	1	5	1	1	2	1	1	14	3
WHO_B_2024	3	10	1				3	5	1	1	8	3	1	6	8	1	8	9	2	9	5	1	2	3	1	5	1	1	1	5	3	8	9
WHO_C_2024	1	8	2	1	8	9	1	15	2	5	2	3	1	5	1	2	5	1	2	3	4	1	5	1	1	5	1	2	5	1	1	5	1
WHO_D_2024	5	2	3	5	1	2	1	1	6	1	1	2	1	2	4	1	16	2	1	1	2	1	16	2	1	12	1	2	3	4	1	1	2
WHO_E_2024	2	20	3	1	4	6	1	15	2	5	2	2	1	2	4	1	2	7	2	3	7	5	1	6	2	3	7	2	3	4	1	2	4
WHO_F_2024	3	1	2	3	2	1	1	5	1	2	1	6	1	2	1	1	2	1	1	2	1	1	2	1	2	2	1	2	1	6	2	1	2
WHO_G_2024	4	4	5	5	3	2	2	20	6	5	2	3	2	1	4	5	2	3	2	1	2	4	4	2	4	12	1	1	1	2	4	4	2
WHO_H_2024	1	7	1	6	21	2	1	9	5	1	4	5	4	3	4	4	3	4	2	9	5	1	2	3	4	9	5	1	8	9	4	3	4
WHO_I_2024	1	5	1	1	2	1	1	5	1	4	2	1	1	7	1	1	7	1	2	9	5	2	3	4				1	1	2	1	7	1
WHO_J_2024	2	1	6	2	7	1	1	18	3	1	1	5	1	12	1	2	7	1	2	3	4	1	1	5	1	2	1	4	2	7	1	1	5
WHO_K_2024	1	1	2	1	4	2	1	18	3	1	1	2	1	2	3	1	4	2	2	9	5	1	18	5	3	2	3	1	8	9	1	4	2
WHO_L_2024	2	1	2	4	2	3	4	2	3	4	2	3	4	4	2	1	2	1	2	1	4	1	2	1	4	11	3	2	1	4	1	2	1
WHO_M_2024	5	2	1	2	2	1	1	1	5	1	4	2	2	2	7	1	4	5	2	4	5	2	4	8	2	10	1	4	2	7	2	4	2
WHO_N_2024	1	1	2	1	1	4	2	20	6	1	1	4	2	1	4	1	13	6	1	1	2	1	5	2	1	5	1	1	1	2	1	5	2
WHO_O_2024	2	3	4	2	7	3	1	5	1	1	1	2	1	2	4	1	16	2	1	2	2	1	1	4	1	10	1	3	2	3	1	1	4
WHO_P_2024	1	1	5	1	4	5	1	10	1	1	4	5	1	4	5	2	2	3	2	4	5	2	10	1	2	10	1	4	2	7	2	10	3
WHO_Q_2024	1	18	1	1	2	7	1	10	1	1	18	3	2	3	4	1	9	5	1	1	2	1	1	4	2	10	1	2	16	3	2	10	1
WHO_R_2024	2	1	2	2	2	3	1	6	8	4	2	1	1	3	7	2	8	9	2	4	6	2	2	3	2	8	9	3	3	4	2	8	9
WHO_S2_2024	2	4	5	1	1	5	3	15	2	1	1	5	1	4	5	1	2	3	2	4	5	1	8	9	4	10	1	4	2	7	1	8	9
WHO_S_2024	1	14	1	1	14	9	3	2	1	5	2	3	1	1	2	1	15	2	1	1	6	1	15	2	2	3	4	2	3	4	1	14	9
WHO_T_2024	1	1	3	1	2	3	1	2	3	1	1	2	1	2	3	1	1	2	1	4	2	1	1	2	1	1	2	1	19	9	1	1	2
WHO_U_2024	2	6	8	4	6	8	2	4	2	4	13	6	4	2	7	1	2	2	2	10	1	4	6	8	2	10	1	4	2	7	2	6	8
WHO_V_2024	1	5	1	2	4	3	1	9	5	1	1	6	1	7	1	1	1	6	2	4	2	1	2	3	4	12	1	3	2	3	1	2	3
WHO_W_2024	1	1	2	1	1	2	1	2	3	1	1	2	1	2	3	1	1	5	2	9	5	1	1	5	3	2	1	2	4	2	1	2	3
WHO_X_2024	1	1	2	2	4	2	1	18	3	1	1	2	1	2	3	1	4	5	2	9	5	1	2	3	3	2	3	1	4	5	1	2	3
WHO_Y_2024	1	7	1	6	21	2	1	9	5	1	4	5	4	3	4	4	3	4	2	9	5	1	8	9	4	12	1	1	8	9			
WHO_Z_2024	1	1	2	1	2	3	1	18	3	1	1	2	3	2	3	1	1	5	2	9	5	1	10	1	3	2	3	1	1	5	1	10	1
WHO_alpha_2024	1	7	1	1	11	3	1	9	5	1	1	2	1	7	3	5	7	3	2	9	5	5	11	2	1	11	3	2	8	9	1	11	3
WHO_beta_2024	3	2	2	3	1	6	4	7	3	3	1	6	1	3	4	1	2	2	1	15	6	3	2	2	1	1	2	2	1	4	1	3	4
