strain	opaA_sv	opaA_hv1	opaA_hv2	opaB_sv	opaB_hv1	opaB_hv2	opaC_sv	opaC_hv1	opaC_hv2	opaD_sv	opaD_hv1	opaD_hv2	opaE_sv	opaE_hv1	opaE_hv2	opaF_sv	opaF_hv1	opaF_hv2	opaG_sv	opaG_hv1	opaG_hv2	opaH_sv	opaH_hv1	opaH_hv2	opaI_sv	opaI_hv1	opaI_hv2	opaJ_sv	opaJ_hv1	opaJ_hv2	opaK_sv	opaK_hv1	opaK_hv2
10744	1	2	4	1	1	7	1	4	1	1	13	6	1	4	7	1	2	1	1	2	6	1	4	2	1	1	7	1	1	2	1	4	2
10771	3	3	4				2	1	5	3	2	7	2	6	8	3	2	3	1	3	7	3	2	3	1	3	7	1	1	5	3	1	5
10791	1	1	4				3	1	5	1	2	7	2	6	8	3	2	3	1	1	7	1	6	8				3	1	5	3	3	7
10792	3	6	8				3	1	5	1	2	7	2	6	8	3	2	3	1	3	7	3	3	4	3	1	4	3	1	5	3	3	4
10794	1	2	3				3	1	5	1	2	7	2	6	8	3	2	3	1	3	7	3	6	8	1	3	7	3	1	5	1	2	3
10795	1	1	4				3	1	5	1	2	7	2	6	8	3	2	3	1	1	7	1	6	8				3	1	5	3	3	7
1081168	1	4	9	6	21	2	1	9	5	5	3	4	1	9	5	5	3	4	2	9	5	1	8	9	4	12	1	1	8	9			
10814	1	2	3				3	1	5	1	2	7	2	6	8	3	2	3	1	3	7	3	6	8	1	3	7	3	1	5	1	3	7
10819	1	2	4	1	1	7	1	4	1	1	13	6	1	4	7	2	2	1	1	2	6	1	4	6	1	1	2	1	1	2	1	4	2
1123850	3	5	1	3	1	6	3	2	3	4	5	1				1	2	2	2	9	5	3	1	6	1	1	6	2	4	2	1	2	2
1130991	1	3	1	6	21	2	1	9	5	1	4	5	4	3	1	1	4	5	2	9	5	1	2	3	4	9	5	1	3	1	1	4	5
1145734	2	5	1	2	5	1	3	15	2	2	5	4	2	7	3	2	4	6	1	5	1	2	7	3	3	5	1	1	19	9	2	7	3
2004S05-027	2	15	2	2	4	5	3	2	3	3	5	1	1	1	6	3	1	2	2	3	4	3	5	1	1	12	1	1	4	2	3	5	1
2010C02-038	1	1	2	2	2	7	1	10	1	1	10	1	2	2	7	1	1	4	1	1	2	2	1	2	1	12	1	1	1	2	2	1	4
2014E02-242	5	1	2	2	5	1	1	9	6	2	17	6	2	5	1	2	7	1	2	3	4	2	5	1	2	17	6	2	1	2	2	5	1
2016E02-233	1	5	1	2	4	3	1	9	5	1	4	6	4	7	1	2	7	4	1	8	9	2	2	3	2	10	1	3	2	3	2	2	3
20181204	4	2	3	5	2	2	2	2	1	1	1	5	1	1	2	1	2	3	5	3	4	1	1	6	1	3	4	2	9	6	1	2	3
2018C07-301	1	1	2	2	4	5	1	18	3	2	1	2	1	2	3	2	4	5	2	2	3	2	1	2	2	2	3	1	1	2	2	4	3
2018S05-288	5	2	3	1	4	2	1	5	1	2	17	6	1	4	2	1	20	6	2	11	3	1	6	8	2	10	1	3	9	6	1	6	8
2020C08-294	1	13	6	1	2	3	1	5	3	1	1	6	5	2	3	1	2	3	2	11	3	1	1	6	2	11	3	3	9	6	5	2	3
2020N07-265	5	2	3	1	4	2	1	5	1	2	17	6	1	6	8	1	20	6	2	11	3	1	6	8	4	2	1	3	9	6	1	6	8
2020N08-318	1	1	2	2	2	3	1	18	3	2	1	2	1	2	3	2	2	3	2	9	5	1	18	3	3	2	3	2	1	2			
2020S05-258	5	2	3	1	4	2	1	2	3	2	17	6	5	2	3	1	20	6	1	1	2	1	6	8	2	10	1	2	1	4	1	4	2
2022NG-0032	1	1	2	1	2	2	1	1	2	1	2	3	2	16	2	1	2	3	2	9	5	1	2	3	2	12	1	1	1	2	2	2	2
2022NG-0076	1	4	5	4	10	1	3	15	2	3	1	2	1	4	5	1	2	3	2	4	5	3	1	2	4	10	1	4	2	7	1	4	6
25818_3#234	1	13	6	4	13	6	4	7	3	1	1	2	1	3	4	3	1	2	1	15	6	1	2	3	1	1	2	2	1	4	1	2	3
9035	3	3	6	1	6	8	3	3	4	3	7	3	3	3	4	3	3	6	2	9	5	3	3	7	2	2	3	2	1	6	3	3	4
9071	1	3	7				3	1	5	3	2	7	2	6	8	3	1	4	1	1	4	1	3	4	1	3	4	3	1	5	1	3	4
9112	1	7	1	3	3	1	1	9	5	1	1	1	3	3	7	1	9	5	2	9	5	1	1	1	4	12	1	2	1	6	1	1	1
9126	3	3	4				3	1	5	3	6	8	3	2	8	3	2	3	1	1	4	1	6	8	1	3	4	3	1	5	3	3	5
9343	1	6	8				3	1	5	1	2	7	2	6	8	3	2	3	1	3	4	1	3	4	1	3	4	3	3	5	1	6	8
9399	3	6	8				3	1	5	3	1	7	2	6	8	3	2	3	3	6	8	3	3	4	3	3	4	3	1	5	3	1	5
9431	1	1	4	1	13	6	1	4	1	1	13	6	1	4	1	2	2	1	1	2	2	2	2	7	1	1	7	1	4	2	1	13	6
9460	1	1	4	1	13	6	1	4	1	1	13	6	1	4	1	2	2	1	1	2	2	1	2	7	1	1	7	1	4	2	1	2	7
9464	1	1	4	1	13	6	1	4	1	1	13	6	1	4	1	2	2	1	1	2	2	2	2	7	1	1	7	1	4	2	1	1	7
96MB	5	2	3	1	4	2	1	5	1	2	17	6	5	2	3	1	20	6	2	11	3	1	6	8	2	11	3	3	9	6	1	6	8
AT159	1	1	5	2	16	1	1	10	1	1	18	1	1	3	4	1	9	5	1	1	2	2	16	1	2	10	1	2	16	1			
ATCC49226	3	2	3	1	8	9	1	15	2	1	8	1	2	4	2	2	4	2	2	3	4	2	4	2	1	4	6	2	3	7	2	3	7
AUNG1065	2	1	7	2	1	7	1	13	6	2	1	2	2	1	2	3	2	3	2	3	4	1	3	4				2	1	2	2	1	7
AUNG1251	5	1	2	1	4	2	2	1	5	2	17	6	5	2	3	1	20	6	2	11	3	1	20	6	2	17	6	3	9	6	1	1	2
AUNG1291	3	10	1	3	4	9	1	10	1	3	4	1	3	3	7	5	4	6	2	9	5	5	4	6	3	4	1	3	2	3	5	4	6
AUSMDU00010541	2	2	1	2	16	1	4	10	1	1	18	3	2	3	4	4	9	5	1	1	2	4	2	1	2	3	4	2	16	3	2	2	4
BJ16148	2	1	2	2	2	3	1	6	8	4	2	1	1	6	8	2	8	9	2	4	6	2	2	1	2	8	9	3	3	4	2	1	2
CCC010	2	1	5	2	5	1	2	1	5	2	17	6	1	5	1	2	7	1	2	3	4	2	5	1	1	11	3	1	19	9	2	5	1
CCC012	2	17	6	2	17	6	2	1	2	2	17	6	2	5	1	4	4	6	2	3	4	5	1	6	2	8	9	1	1	5	4	4	6
CCC013	5	1	2	2	16	2	2	1	5	2	17	6	2	5	1	2	7	1	1	3	4	1	17	1	1	11	3	4	2	7	2	16	2
CCC014	5	1	2	1	4	2	1	5	1	1	6	8	5	2	3	1	20	6	2	11	3	5	2	3	1	11	3	3	9	6	5	20	2
CCC015	5	1	2	1	4	2	1	5	1	1	6	8	5	2	3	1	20	6	2	3	4	5	2	3	1	11	3	3	9	6	5	2	3
CCC016	5	1	2	2	17	6	2	1	5	2	17	6	2	7	1	2	7	1	2	3	4	5	1	2	1	11	3	1	19	9	2	17	4
CCC017	5	1	2	1	4	2	1	5	1	1	6	8	5	2	3	1	20	6	1	11	3	5	2	3	1	11	3	3	9	6	1	20	6
CCC020	1	15	6	2	5	1	3	1	6	2	1	6	1	7	1	2	1	4	1	1	2	2	1	4	1	1	2	2	1	4	2	1	4
CCC028	2	4	5	2	4	5	3	15	2	1	4	5	1	4	5	1	2	3	2	4	5	1	8	9	4	10	1	4	4	7			
CCC033	4	8	9	1	4	6	2	1	5	2	17	6	2	5	1	2	7	1	1	3	4	1	17	1	1	11	3	4	8	9	1	4	6
CCC048	2	2	2	1	13	6	1	2	3	1	2	4	2	5	1	1	16	2	1	8	2	1	2	3	1	8	2	1	2	3	1	16	3
CT213	2	1	2	2	1	2	2	1	2	1	3	4	2	5	1	1	1	2	1	3	4	2	5	1	1	5	1	2	1	2	1	1	2
CT530	5	1	2	2	16	2	2	1	5	2	7	1	2	5	1	2	7	1	2	3	4	1	17	1	1	11	3	4	2	7	2	1	5
CT532	5	1	2	2	7	1	1	2	3	2	7	1	2	7	1	2	1	2	1	8	9	2	1	2	1	5	1	4	2	7	2	1	2
CT602	5	1	2	2	7	1	2	1	5	5	17	6	2	5	1	2	7	1	1	8	9	2	7	1	1	8	9	2	1	5	2	7	1
DDD001	1	4	9	1	4	2	1	5	1	1	17	6	5	2	3	1	20	6	2	11	3	1	2	3	2	11	3	3	9	6	1	6	8
DDD029	2	5	1	2	2	3	1	5	1	2	2	4	5	2	1	3	7	6	3	16	2	3	12	1				3	9	6	2	2	4
DDD031	5	1	2	2	7	1	2	1	5	2	17	6	2	5	1	2	7	1	1	1	2	2	5	1	1	11	3	3	9	6	2	7	1
DDD034	2	5	1	2	2	3	1	5	1	2	2	4	5	2	1	3	7	6	3	16	2	3	12	1				3	9	6	2	2	4
DDD038	2	5	1	2	2	3	1	5	1	2	2	4	2	7	1	3	7	6	3	16	2	3	12	1				3	9	6	2	2	4
DDD046	4	2	3	2	16	2	2	13	6	4	2	3	2	4	6	2	13	6	2	3	4	2	16	2	2	3	4	2	4	6	2	16	2
EEE004	4	2	1	1	2	7	1	6	8	4	2	1	1	6	8	1	8	9	2	4	6	1	2	7	2	5	1	1	1	2	1	2	7
