wgs_id,biosample_accession,biosample_collection_date,continent,country,region,assembly_accession,bioproject_accession,release_date,short_read_sequencer,long_read_sequencer,other_sequencer,assembly_method,notes,source,reference,PMID
10231,SAMN28869504,2017,Europe,Russia,,GCF_025169565.2,PRJNA768989,2022-10-13,Illumina MiniSeq,Oxford Nanopore MinION R9 and R10,,Unicycler v. 0.4.8,,public,Shaskolskiy2022,36555284
10239,SAMN28833726,2017,Europe,Russia,,GCF_025790205.1,PRJNA768989,2022-10-21,Illumina MiniSeq,Oxford Nanopore MiniION R9 and R10,,Unicycler v. 0.4.8,,public,Shaskolskiy2022,36555284
10268,SAMN28858863,2017,Europe,Russia,,GCF_025170685.2,PRJNA768989,2022-09-13,Illumina MiniSeq,Oxford Nanopore MinION R9 and R10,,Unicycler v. 0.4.8,,public,Shaskolskiy2022,36555284
10272,SAMN28858852,2017,Europe,Russia,Kaluga,GCF_025169515.2,PRJNA768989,2022-10-06,Illumina MiniSeq,Oxford Nanopore MinION R9 and R10,,Unicycler v. 0.4.8,,public,Shaskolskiy2022,36555284
10296,SAMN28871644,2017,Europe,Russia,,GCF_025171275.1,PRJNA768989,2022-09-13,Illumina MiniSeq,Oxford Nanopore MinION R9 and R10,,Unicycler v. 0.4.8,,public,Shaskolskiy2022,36555284
10328,SAMN28835919,2017,Europe,Russia,Cheboksary,GCF_025170325.2,PRJNA768989,2022-09-13,Illumina MiniSeq,Oxford Nanopore MinION R9 and R10,,Unicycler v. 0.4.8,,public,Shaskolskiy2022,36555284
10500,SAMN22599447,2018,Europe,Russia,Astrakhan,GCF_020882925.2,PRJNA768989,2022-10-05,Illumina MiniSeq,Oxford Nanopore MinION R9 and R10,,Unicycler v. 0.4.8,,public,Shaskolskiy2022,36555284
10524,SAMN22599711,2018,Europe,Russia,Arkhangelsk,GCF_020904995.2,PRJNA768989,2022-10-05,Illumina MiniSeq,Oxford Nanopore MinION R9 and R10,,Unicycler v. 0.4.8,,public,Shaskolskiy2022,36555284
10529,SAMN28869590,2018,Europe,Russia,,GCF_025169685.2,PRJNA768989,2022-10-05,Illumina MiniSeq,Oxford Nanopore MinION R9 and R10,,Unicycler v. 0.4.8,,public,Shaskolskiy2022,36555284
10531,SAMN31014989,2018,Europe,Russia,Arkhangelsk,GCF_025642435.1,PRJNA768989,2022-10-11,Illumina MiniSeq,Oxford Nanopore MinION R9 and R10,,Unicycler v. 0.4.8,note that 2 isolates were resequenced to test for the effect of cell culturing on the sequence and they did not observe differences in synteny,public,Shaskolskiy2022,36555284
10536,SAMN28859049,2018,Europe,Russia,,GCF_025170705.2,PRJNA768989,2022-09-13,Illumina MiniSeq,Oxford Nanopore MinION R9 and R10,,Unicycler v. 0.4.8,,public,Shaskolskiy2022,36555284
