,inflation,num_clusters,efficiency,mass_fraction,area_fraction,distance,num_nodes,percent_difference
0,1.4,2,0.59935,1.0,0.99324,,,
1,2.0,2,0.59935,1.0,0.99324,0.0,2360.0,0.0
2,4.0,4,0.75127,0.65953,0.43598,979.0,2360.0,20.741525423728813
3,6.0,5,0.76432,0.61389,0.3702,322.0,2360.0,6.822033898305085
4,8.0,6,0.7627,0.57663,0.32704,116.0,2360.0,2.457627118644068
5,10.0,6,0.76616,0.57124,0.3172,94.0,2360.0,1.9915254237288136
6,12.0,6,0.76616,0.57124,0.3172,0.0,2360.0,0.0
7,14.0,6,0.76716,0.57373,0.32143,52.0,2360.0,1.1016949152542372
