,id,sv_cluster,hv1_cluster,hv2_cluster
341,1123850_opa_2,3,1,6
342,1123850_opa_3,5,19,3
343,1123850_opa_4,4,5,1
344,1123850_opa_5,3,2,3
345,1123850_opa_6,1,2,2
346,1123850_opa_7,2,9,5
347,1123850_opa_8,3,1,6
348,1123850_opa_9,1,1,6
349,1130991_opa_1,1,3,1
350,1130991_opa_10,1,4,5
351,1130991_opa_11,1,3,1
352,1130991_opa_2,6,21,2
353,1130991_opa_3,4,9,5
354,1130991_opa_4,1,2,3
355,1130991_opa_5,2,9,5
356,1130991_opa_6,1,4,5
357,1130991_opa_7,1,9,5
358,1130991_opa_8,1,4,5
359,1130991_opa_9,4,3,1
360,1145734_opa_1,2,5,1
361,1145734_opa_10,2,7,3
362,1145734_opa_11,1,19,9
363,1145734_opa_2,2,5,1
364,1145734_opa_3,3,15,2
365,1145734_opa_4,2,5,4
366,1145734_opa_5,2,7,3
367,1145734_opa_6,2,4,6
368,1145734_opa_7,1,5,1
369,1145734_opa_8,2,7,3
370,1145734_opa_9,3,5,1
371,2004S05-027_opa_1,2,15,2
372,2004S05-027_opa_10,1,4,2
373,2004S05-027_opa_11,3,5,1
374,2004S05-027_opa_2,2,4,5
375,2004S05-027_opa_3,3,2,3
376,2004S05-027_opa_4,3,5,1
377,2004S05-027_opa_5,1,1,6
378,2004S05-027_opa_6,3,1,2
379,2004S05-027_opa_7,2,3,4
380,2004S05-027_opa_8,3,5,1
381,2004S05-027_opa_9,1,12,1
382,2010C02-038_opa_1,1,1,2
383,2010C02-038_opa_10,2,1,4
384,2010C02-038_opa_11,1,1,2
385,2010C02-038_opa_2,2,2,7
386,2010C02-038_opa_3,2,2,7
387,2010C02-038_opa_4,1,10,1
388,2010C02-038_opa_5,1,10,1
389,2010C02-038_opa_6,1,1,4
390,2010C02-038_opa_7,1,1,2
391,2010C02-038_opa_8,2,1,2
392,2010C02-038_opa_9,1,12,1
393,2014E02-242_opa_1,5,1,2
394,2014E02-242_opa_10,2,1,2
395,2014E02-242_opa_11,2,5,1
396,2014E02-242_opa_2,2,5,1
397,2014E02-242_opa_3,2,5,1
398,2014E02-242_opa_4,2,17,6
399,2014E02-242_opa_5,1,9,6
400,2014E02-242_opa_6,2,7,1
401,2014E02-242_opa_7,2,3,4
402,2014E02-242_opa_8,2,5,1
403,2014E02-242_opa_9,2,17,6
404,2016E02-233_opa_1,1,5,1
405,2016E02-233_opa_10,2,2,3
406,2016E02-233_opa_11,3,2,3
407,2016E02-233_opa_2,2,4,3
408,2016E02-233_opa_3,4,7,1
409,2016E02-233_opa_4,1,4,6
410,2016E02-233_opa_5,1,9,5
411,2016E02-233_opa_6,2,7,4
412,2016E02-233_opa_7,1,8,9
413,2016E02-233_opa_8,2,2,3
414,2016E02-233_opa_9,2,10,1
415,20181204_opa_1,4,2,3
416,20181204_opa_10,2,9,6
417,20181204_opa_11,1,2,3
418,20181204_opa_2,5,2,2
419,20181204_opa_3,2,2,1
420,20181204_opa_4,1,1,5
421,20181204_opa_5,1,1,2
422,20181204_opa_6,1,2,3
423,20181204_opa_7,5,3,4
424,20181204_opa_8,1,1,6
425,20181204_opa_9,1,3,4
426,2018C07-301_opa_1,1,1,2
427,2018C07-301_opa_10,2,4,3
428,2018C07-301_opa_11,1,1,2
429,2018C07-301_opa_2,2,4,5
430,2018C07-301_opa_3,1,2,3
431,2018C07-301_opa_4,2,1,2
432,2018C07-301_opa_5,1,18,3
433,2018C07-301_opa_6,2,4,5
434,2018C07-301_opa_7,2,2,3
435,2018C07-301_opa_8,2,1,2
436,2018C07-301_opa_9,2,2,3
437,2018S05-288_opa_1,5,2,3
438,2018S05-288_opa_10,1,6,8
439,2018S05-288_opa_11,3,9,6
440,2018S05-288_opa_2,1,4,2
441,2018S05-288_opa_3,1,4,2
442,2018S05-288_opa_4,2,17,6
443,2018S05-288_opa_5,1,5,1
444,2018S05-288_opa_6,1,20,6
445,2018S05-288_opa_7,2,11,3
446,2018S05-288_opa_8,1,6,8
447,2018S05-288_opa_9,2,10,1
448,2020C08-294_opa_1,1,13,6
449,2020C08-294_opa_10,5,2,3
450,2020C08-294_opa_11,3,9,6
451,2020C08-294_opa_2,1,2,3
452,2020C08-294_opa_3,1,5,3
453,2020C08-294_opa_4,1,1,6
454,2020C08-294_opa_5,5,2,3
455,2020C08-294_opa_6,1,2,3
456,2020C08-294_opa_7,2,11,3
457,2020C08-294_opa_8,1,1,6
458,2020C08-294_opa_9,2,11,3
459,2020N07-265_opa_1,5,2,3
460,2020N07-265_opa_10,1,6,8
461,2020N07-265_opa_11,3,9,6
462,2020N07-265_opa_2,1,4,2
463,2020N07-265_opa_3,1,6,8
464,2020N07-265_opa_4,2,17,6
465,2020N07-265_opa_5,1,5,1
466,2020N07-265_opa_6,1,20,6
467,2020N07-265_opa_7,2,11,3
468,2020N07-265_opa_8,1,6,8
469,2020N07-265_opa_9,4,2,1
470,2020N08-318_opa_1,1,1,2
471,2020N08-318_opa_10,2,1,2
472,2020N08-318_opa_2,2,2,3
473,2020N08-318_opa_3,1,2,3
474,2020N08-318_opa_4,2,1,2
475,2020N08-318_opa_5,1,18,3
476,2020N08-318_opa_6,2,2,3
477,2020N08-318_opa_7,2,9,5
478,2020N08-318_opa_8,1,18,3
479,2020N08-318_opa_9,3,2,3
480,2020S05-258_opa_1,5,2,3
481,2020S05-258_opa_10,1,4,2
482,2020S05-258_opa_11,2,1,4
483,2020S05-258_opa_2,1,4,2
484,2020S05-258_opa_3,5,2,3
485,2020S05-258_opa_4,2,17,6
486,2020S05-258_opa_5,1,2,3
487,2020S05-258_opa_6,1,20,6
488,2020S05-258_opa_7,1,1,2
489,2020S05-258_opa_8,1,6,8
490,2020S05-258_opa_9,2,10,1
491,2022NG-0032_opa_1,1,1,2
492,2022NG-0032_opa_10,2,2,2
493,2022NG-0032_opa_11,1,1,2
494,2022NG-0032_opa_2,1,2,2
495,2022NG-0032_opa_3,1,1,2
496,2022NG-0032_opa_4,1,2,3
