parameter	value
pastml_version	1.9.49
character	opaG_hv2
log_likelihood	-218.35013171374058
log_likelihood_restricted_JOINT	-265.5321564784995
log_likelihood_restricted_MAP	-270.29077788890834
log_likelihood_restricted_MPPA	-225.2406365369963
num_scenarios	6807932500715838710403851857170379309056000000000
num_states_per_node_avg	1.9873817034700316
num_unresolved_nodes	70
percentage_of_unresolved_nodes	22.082018927444796
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.015041921667872675
state_changes_per_avg_branch	0.7119070721574632
smoothing_factor	0
1	0.09180853426998682
2	0.19064056588841
3	0.1678991272265562
4	0.146761325029773
5	0.1098698668518825
6	0.08270865146910161
7	0.05881550369651894
8	0.011814907946088053
9	0.13968151762168288
