parameter	value
pastml_version	1.9.49
character	opaJ_hv2
log_likelihood	-206.61247056939698
log_likelihood_restricted_JOINT	-245.65425007675157
log_likelihood_restricted_MAP	-253.42423171082498
log_likelihood_restricted_MPPA	-214.0689649345754
num_scenarios	120550252598514820161457174005047348617543680000
num_states_per_node_avg	1.9337539432176656
num_unresolved_nodes	69
percentage_of_unresolved_nodes	21.766561514195583
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.013578947634862913
state_changes_per_avg_branch	0.6426671450072727
smoothing_factor	0
1	0.060087597762178015
2	0.09956990941751935
3	0.1842003817972067
4	0.2890380472704028
5	0.0979284856374256
6	0.06588259873515379
7	0.09965792258017275
9	0.10363505679994106
