parameter	value
pastml_version	1.9.49
character	opaC_hv1
log_likelihood	-205.19433267155824
log_likelihood_restricted_JOINT	-235.63605237115036
log_likelihood_restricted_MAP	-245.13695901709062
log_likelihood_restricted_MPPA	-213.06625240095264
num_scenarios	45692167394258483540531335518675271680000
num_states_per_node_avg	1.8012618296529967
num_unresolved_nodes	60
percentage_of_unresolved_nodes	18.92744479495268
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.009525051653746243
state_changes_per_avg_branch	0.4508035465608229
smoothing_factor	0
1	0.12299363726440782
10	0.027556782080770274
12	6.084385170279695e-08
13	0.013658415436273745
14	0.013658070830420496
15	0.013658781529870347
18	0.1355711700285641
2	0.15002699914675496
3	0.09160851327706933
4	0.21661618001809202
5	0.013799809035566171
6	0.0954727286597831
7	0.013658468546104759
8	0.030876531599674104
9	0.06084385170279696
