parameter	value
pastml_version	1.9.49
character	opaK_hv2
log_likelihood	-299.5005014504913
log_likelihood_restricted_JOINT	-483.0304019756784
log_likelihood_restricted_MAP	-504.07561489244534
log_likelihood_restricted_MPPA	-316.38924787011194
num_scenarios	130823875011513080055409609016991649503688242270576468293250712111419055734143542080781662446408887497391653228946391040
num_states_per_node_avg	3.5772870662460567
num_unresolved_nodes	153
percentage_of_unresolved_nodes	48.26498422712934
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.2112905217009226
state_changes_per_avg_branch	10.0
smoothing_factor	0
1	0.2005517043225268
10	0.015185462691773408
2	0.12328732864759248
3	0.12346240308241423
4	0.12250904616166454
5	0.13171972678381927
6	0.07581364897568305
7	0.12487324031708975
8	0.052105400981886076
9	0.030492038035550607
