parameter	value
pastml_version	1.9.49
character	opaF_hv2
log_likelihood	-219.35992676543535
log_likelihood_restricted_JOINT	-269.99160330114046
log_likelihood_restricted_MAP	-282.7962570861787
log_likelihood_restricted_MPPA	-227.89232948426783
num_scenarios	6469728744227389105548432920418077970467188113408
num_states_per_node_avg	1.974763406940063
num_unresolved_nodes	70
percentage_of_unresolved_nodes	22.082018927444796
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.015947323065723166
state_changes_per_avg_branch	0.7547580902988291
smoothing_factor	0
1	0.17287373810301027
10	0.04987481223006358
2	0.12255648981569797
3	0.1457236273862195
4	0.14129988961535148
5	0.12150088207279923
6	0.1515060132440373
7	0.023532322105921624
8	0.011826439878058257
9	0.05930578554884089
