parameter	value
pastml_version	1.9.49
character	opaG_hv1
log_likelihood	-233.89835946372887
log_likelihood_restricted_JOINT	-275.1165930859505
log_likelihood_restricted_MAP	-285.62422670073744
log_likelihood_restricted_MPPA	-243.23285637501164
num_scenarios	1836436320545342966227289008899448897536000000000
num_states_per_node_avg	2.085173501577287
num_unresolved_nodes	64
percentage_of_unresolved_nodes	20.189274447949526
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.013214212662794326
state_changes_per_avg_branch	0.6254048954216116
smoothing_factor	0
1	0.2077866628606175
10	0.012363954406946357
12	0.012410247793663618
13	0.054920720610381515
15	0.051049095990027514
16	0.06153543813586309
17	0.012363941965118605
18	9.011000239883642e-08
19	0.0123639409788229
2	0.07418560046870894
3	0.1842720782019792
4	0.024860570767482534
5	0.10964659468148698
6	0.0123676554154813
7	0.07976340521458125
9	0.09011000239883642
