parameter	value
pastml_version	1.9.49
character	opaE_hv1
log_likelihood	-194.17170027218103
log_likelihood_restricted_JOINT	-219.8693231990747
log_likelihood_restricted_MAP	-224.0243237918021
log_likelihood_restricted_MPPA	-201.33107712103276
num_scenarios	499603575263608512184320000000
num_states_per_node_avg	1.526813880126183
num_unresolved_nodes	49
percentage_of_unresolved_nodes	15.457413249211356
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.007941530928441675
state_changes_per_avg_branch	0.37585836148782614
smoothing_factor	0
1	0.17284031043062767
10	5.211757367955617e-09
11	0.029285724166802633
16	0.014566298432655077
17	0.014545757033315013
2	0.26674891372265996
3	0.08337794997404355
4	0.08950837206709561
5	0.10889021797848775
6	0.11463704868106796
7	0.014569547519307911
8	0.08581809741422379
9	0.005211757367955617
