parameter	value
pastml_version	1.9.49
character	opaC_hv2
log_likelihood	-196.10963623308112
log_likelihood_restricted_JOINT	-225.32274209972428
log_likelihood_restricted_MAP	-227.13896276989345
log_likelihood_restricted_MPPA	-204.73101522356995
num_scenarios	298678612325667841519122382848000000000
num_states_per_node_avg	1.7129337539432177
num_unresolved_nodes	61
percentage_of_unresolved_nodes	19.242902208201894
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.011002022299260462
state_changes_per_avg_branch	0.5207059081823651
smoothing_factor	0
1	0.33796155377354103
10	0.05785099703889699
2	0.07273148859962777
3	0.03780092371802167
4	0.1686417075037476
5	0.1137192267231385
6	0.06935157850327495
7	0.03989267719713558
8	0.09647555385386354
9	0.005574293088752316
