parameter	value
pastml_version	1.9.49
character	opaJ_hv1
log_likelihood	-218.59099850149937
log_likelihood_restricted_JOINT	-252.18629951420502
log_likelihood_restricted_MAP	-255.91830481822706
log_likelihood_restricted_MPPA	-229.4503751388324
num_scenarios	18828635765400000000000000000000000000000
num_states_per_node_avg	1.6782334384858044
num_unresolved_nodes	67
percentage_of_unresolved_nodes	21.13564668769716
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.014157095235757032
state_changes_per_avg_branch	0.670029830102654
smoothing_factor	0
1	0.4248822828859248
12	0.011994338159268795
15	0.01155426248561812
16	0.011554861595514023
17	0.07476081474644516
18	0.011554136052052676
19	0.06146742204340972
2	0.127645557438646
3	0.08078680430604976
4	0.023107148250656125
5	0.10701242262692007
7	0.02379055716057203
8	0.011554141868080294
9	0.018335250380842577
