parameter	value
pastml_version	1.9.49
character	opaI_hv1
log_likelihood	-233.96043879434558
log_likelihood_restricted_JOINT	-282.8224128862598
log_likelihood_restricted_MAP	-287.3155604586052
log_likelihood_restricted_MPPA	-244.11958500794918
num_scenarios	724673411402355210676082807111865774661301059584000000000
num_states_per_node_avg	2.182965299684543
num_unresolved_nodes	77
percentage_of_unresolved_nodes	24.290220820189276
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.01601478405333762
state_changes_per_avg_branch	0.7579508973907603
smoothing_factor	0
1	0.14771134889630097
10	0.012254758793463013
11	0.06685466843262149
12	0.01207015867643379
13	0.06899038329004899
14	0.012255535012812069
15	0.024725342694036666
16	0.024521062784673805
2	0.16435490517205784
3	0.11117738337691632
4	0.23880135176112963
5	0.06078069806579106
7	0.036593199812623135
8	0.012255332775849809
9	0.006653870455241583
