parameter	value
pastml_version	1.9.49
character	opaH_hv1
log_likelihood	-292.46950327502293
log_likelihood_restricted_JOINT	-393.99384895813597
log_likelihood_restricted_MAP	-397.45912952819253
log_likelihood_restricted_MPPA	-313.18702144022586
num_scenarios	614602119197726892707578372210264205932617187500000000000000000
num_states_per_node_avg	2.1009463722397475
num_unresolved_nodes	97
percentage_of_unresolved_nodes	30.599369085173503
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.06571264887053194
state_changes_per_avg_branch	3.110061366763382
smoothing_factor	0
1	0.2677555720719111
10	6.575770107824597e-09
11	0.025742137109340722
12	0.02562102449965071
13	0.008679844493503867
14	0.017400898814404087
16	0.008505309807201012
18	0.008505402246282831
2	0.2130934013557703
3	0.11478495504116198
4	0.10203773409270732
5	0.0963524651769324
6	0.05329143347171124
7	0.026036628643669832
8	0.025617416492158023
9	0.006575770107824597
