parameter	value
pastml_version	1.9.49
character	opaF_hv1
log_likelihood	-232.62729070486603
log_likelihood_restricted_JOINT	-282.15941216888456
log_likelihood_restricted_MAP	-286.42267909826444
log_likelihood_restricted_MPPA	-244.62381369846162
num_scenarios	28873788203902465586531907309404160000000000000
num_states_per_node_avg	1.8422712933753944
num_unresolved_nodes	72
percentage_of_unresolved_nodes	22.71293375394322
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.01761135727372085
state_changes_per_avg_branch	0.8335138335570662
smoothing_factor	0
1	0.24406781115301424
10	0.022839352220139924
12	0.011340911363115632
13	0.011340998465167104
14	0.012334378768726057
16	0.011341322287009806
18	0.011341077948072197
2	0.20516411525699735
3	0.06709770852420525
4	0.058471773825543916
5	0.1695986945225235
6	0.011376348577271786
7	0.045832729695328735
8	0.0828449935721122
9	0.0350077838207724
