node	1	2	3	4	5	6	7	9
root	9.999270643421876e-11	9.999270643421876e-11	9.999270643421876e-11	0.03846070578928386	0.9230777580116931	9.999270643421876e-11	0.03846153569905945	9.999270643421876e-11
n0	9.999031235672211e-11	9.999031235672211e-11	9.99903123567217e-11	0.03846047895487578	0.9230779197085124	9.999031235672211e-11	0.03846160083666023	9.999031235672211e-11
10529	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n00	9.998595035977052e-11	9.998595035977052e-11	9.998595035977052e-11	0.03845699017996619	0.9230856592363358	9.998595035977052e-11	0.03845735008376836	9.998595035977052e-11
n7	9.998499595226974e-11	9.998499595226974e-11	9.998499595226974e-11	0.03846212707845005	0.9230730697484406	9.998499595226974e-11	0.0384648026731844	9.998499595227014e-11
n1	9.997728367779024e-11	9.997728367779024e-11	9.997728367779024e-11	0.03845325967960541	0.923093287334861	9.997728367779024e-11	0.03845345248564724	9.997728367779065e-11
10727	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n77	9.998188441439072e-11	9.998188441439072e-11	9.998188441439072e-11	0.03846383136974192	0.9230684406116	9.998188441439072e-11	0.03846772751874865	9.998188441439072e-11
9071	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n11	9.948683614522131e-11	9.948683614522131e-11	9.948683614522131e-11	0.03826417978363809	0.923471634871599	9.948683614522131e-11	0.03826418484732872	9.948683614522131e-11
n55	3.26573451640862e-11	3.26573451640862e-11	3.26573451640862e-11	0.012560517388064234	0.9748789650533223	3.26573451640862e-11	0.012560517395326837	3.26573451640862e-11
n8	9.996398180651957e-11	9.996398180651957e-11	9.996398180651957e-11	0.03845000811220449	0.9230990060023783	9.996398180651957e-11	0.03845098538559737	9.996398180651957e-11
n9	9.998270183703873e-11	9.998270183703873e-11	9.998270183703873e-11	0.03846782306298657	0.9230589100732783	9.998270183703873e-11	0.03847326636382152	9.998270183703873e-11
10231	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n2	8.95265477553396e-11	8.95265477553396e-11	8.95265477553396e-11	0.03443328799801846	0.9311334233881177	8.95265477553396e-11	0.03443328816623115	8.95265477553396e-11
n6	1.7917719443079443e-11	1.7917719443079443e-11	1.7917719443079443e-11	0.006891430561746006	0.986217138784094	1.7917719443079443e-11	0.0068914305645714	1.7917719443079443e-11
10562	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n88	2.5758154071192812e-11	2.5758154071192812e-11	2.5758154071192812e-11	0.009906982459694201	0.9801860348993894	2.5758154071192812e-11	0.009906982512125632	2.5758154071192812e-11
9126	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n99	9.968148721008533e-11	9.968148721008533e-11	9.968148721008533e-11	0.03833920103685438	0.9219062396336114	9.968148721008533e-11	0.03975455883112684	9.968148721008533e-11
n1010	7.340701451704389e-11	7.340701451704389e-11	7.340701451704389e-11	0.10069947509557406	0.8710670550060619	7.340701451704389e-11	0.028233469531328964	7.340701451704389e-11
n22	7.184953729190432e-11	7.184953729190432e-11	7.184953729190432e-11	0.027634437523947102	0.944731124549109	7.184953729190432e-11	0.027634437567696325	7.184953729190432e-11
10792	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n66	1.2461016379892474e-11	1.2461016379892474e-11	1.2461016379892474e-11	0.004792698609326029	0.9904146027183381	1.2461016379892474e-11	0.004792698610030782	1.2461016379892474e-11
9343	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
10272	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
9399	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n10	2.0665304453964357e-11	2.0665304453964357e-11	2.0665304453964357e-11	0.007948194098134218	0.9841029578367654	2.0665304453964357e-11	0.007948847961773853	2.0665304453964357e-11
10610	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n1111	7.054566572425345e-11	7.054566572425345e-11	7.054566572425345e-11	0.11363100275529653	0.8592360465966451	7.054566572425345e-11	0.027132950295330072	7.054566572425345e-11
10723	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n3	2.834212876432095e-11	2.834212876432095e-11	2.834212876432095e-11	0.010900818762470194	0.9781983623304199	2.834212876432095e-11	0.010900818765399337	2.834212876432095e-11
n4	5.716327759695205e-11	5.716327759695205e-11	5.716327759695205e-11	0.021985876029555772	0.9560282476421439	5.716327759695205e-11	0.021985876042483976	5.716327759695205e-11
10268	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
10574	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
10500	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
10702	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
10524	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n12	5.436993305397988e-11	5.436993305397988e-11	5.436993305397988e-11	0.2803054539014077	0.6987830326151305	5.436993305397988e-11	0.020911513211612207	5.436993305397988e-11
10328	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n33	2.0936718475240988e-11	2.0936718475240988e-11	2.0936718475240988e-11	0.008052584030615895	0.9838948318333791	2.0936718475240988e-11	0.008052584031321483	2.0936718475240988e-11
n44	3.84950349195197e-11	3.84950349195197e-11	3.84950349195197e-11	0.014805782670467973	0.9703884344627544	3.84950349195197e-11	0.014805782674302586	3.84950349195197e-11
n5	9.354319318290171e-12	9.354319318290171e-12	9.354319318290171e-12	0.0035978151230108783	0.9928043697069577	9.354319318290171e-12	0.003597815123259774	9.354319318290171e-12
