node	1	12	13	14	16	19	2	3	4	5	6	7	8	9
root	5.4592521226950524e-11	5.4592521226950524e-11	5.4592521226950524e-11	5.4592521226950524e-11	5.4592521226950524e-11	5.4592521226950524e-11	0.05136943612595488	5.4592521226950524e-11	5.4592521226950524e-11	5.4592521226950524e-11	0.9486305632189346	5.4592521226950524e-11	5.4592521226950524e-11	5.4592521226950524e-11
n0	5.17505655233189e-11	5.17505655233189e-11	5.17505655233189e-11	5.17505655233189e-11	5.17505655233189e-11	5.17505655233189e-11	0.05264548785467966	5.17505655233189e-11	5.17505655233189e-11	5.17505655233189e-11	0.9473545115243134	5.17505655233189e-11	5.17505655233189e-11	5.17505655233189e-11
10529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n00	5.232671801631008e-11	5.232671801631008e-11	5.232671801631008e-11	5.232671801631008e-11	5.232671801631008e-11	5.232671801631008e-11	0.042756887051195326	5.232671801631008e-11	5.232671801631008e-11	5.232671801631008e-11	0.9572431123208839	5.232671801631008e-11	5.232671801631008e-11	5.232671801631008e-11
n7	4.985763833332541e-11	4.985763833332541e-11	4.985763833332541e-11	4.985763833332541e-11	4.985763833332541e-11	4.985763833332541e-11	0.06217686506819079	4.985763833332541e-11	4.985763833332541e-11	4.985763833332541e-11	0.9378231343335173	4.985763833332541e-11	4.985763833332541e-11	4.985763833332541e-11
n1	5.2257115068802684e-11	5.2257115068802684e-11	5.2257115068802684e-11	5.2257115068802684e-11	5.2257115068802904e-11	5.2257115068802904e-11	0.03851507696250392	5.2257115068802684e-11	5.2257115068802904e-11	5.2257115068802904e-11	0.9614849224104106	5.2257115068802904e-11	5.2257115068802904e-11	5.2257115068802904e-11
10727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n77	4.936455851763296e-11	4.936455851763296e-11	4.936455851763296e-11	4.936455851763296e-11	4.936455851763317e-11	4.936455851763317e-11	0.06760418667400918	4.936455851763296e-11	4.936455851763296e-11	4.936455851763296e-11	0.9323958127336163	4.936455851763296e-11	4.936455851763296e-11	4.936455851763296e-11
9071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n11	4.2753080066426295e-11	4.2753080066426295e-11	4.2753080066426295e-11	4.2753080066426295e-11	4.2753080066426295e-11	4.2753080066426295e-11	0.021344920528771034	4.2753080066426295e-11	4.2753080066426295e-11	4.2753080066426295e-11	0.978655078958192	4.2753080066426295e-11	4.2753080066426295e-11	4.2753080066426295e-11
n55	2.407690116369517e-12	2.407690116369517e-12	2.407690116369517e-12	2.407690116369517e-12	2.407690116369517e-12	2.407690116369517e-12	0.0009868494833668749	2.407690116369517e-12	2.407690116369517e-12	2.407690116369517e-12	0.999013150487741	2.407690116369517e-12	2.407690116369517e-12	2.407690116369517e-12
n8	5.5138183256335175e-11	5.5138183256335175e-11	5.5138183256335175e-11	5.5138183256335175e-11	5.5138183256335175e-11	5.5138183256335175e-11	0.10292680752276943	5.5138183256335175e-11	5.5138183256335175e-11	5.5138183256335175e-11	0.8970731918155725	5.5138183256335175e-11	5.5138183256335175e-11	5.5138183256335175e-11
n9	5.033440260684939e-11	5.033440260684939e-11	5.033440260684939e-11	5.033440260684939e-11	5.033440260684939e-11	5.033440260684939e-11	0.06318215996453752	5.033440260684939e-11	5.033440260684939e-11	5.033440260684939e-11	0.9368178394314494	5.033440260684939e-11	5.033440260684939e-11	5.033440260684939e-11
10231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n2	1.5756819578834767e-11	1.5756819578834767e-11	1.5756819578834767e-11	1.5756819578834767e-11	1.5756819578834767e-11	1.5756819578834767e-11	0.006718807242023558	1.5756819578834767e-11	1.5756819578834767e-11	1.5756819578834767e-11	0.9932811925688949	1.5756819578834767e-11	1.5756819578834767e-11	1.5756819578834767e-11
n6	5.153840727255902e-13	5.153840727255902e-13	5.153840727255902e-13	5.153840727255902e-13	5.153840727255902e-13	5.153840727255902e-13	0.00020882860246934328	5.153840727255902e-13	5.153840727255902e-13	5.153840727255902e-13	0.9997911713913459	5.153840727255902e-13	5.153840727255902e-13	5.153840727255902e-13
10562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n88	2.3505093116355295e-12	2.3505093116355295e-12	2.3505093116355295e-12	2.3505093116355295e-12	2.3505093116355295e-12	2.3505093116355295e-12	0.0012107419237499604	2.3505093116355295e-12	2.3505093116355295e-12	2.3505093116355295e-12	0.998789258048044	2.3505093116355295e-12	2.3505093116355295e-12	2.3505093116355295e-12
9126	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n99	5.191015357761027e-11	5.191015357761027e-11	5.191015357761027e-11	5.191015357761027e-11	5.191015357761027e-11	5.191015357761027e-11	0.030979412209922074	5.191015357761027e-11	5.191015357761027e-11	5.191015357761027e-11	0.9690205871671561	5.191015357761027e-11	5.191015357761027e-11	5.191015357761027e-11
n1010	5.996660830562447e-12	5.996660830562447e-12	5.996660830562447e-12	5.996660830562447e-12	5.996660830562447e-12	5.996660830562447e-12	0.002711503399459579	5.996660830562447e-12	5.996660830562447e-12	5.996660830562447e-12	0.9972884965285805	5.996660830562447e-12	5.996660830562447e-12	5.996660830562447e-12
