state	colour
1	#1f77b4
15	#7f7f7f
16	#c7c7c7
19	#17becf
2	#aec7e8
3	#ff7f0e
4	#ffbb78
5	#2ca02c
7	#d62728
8	#ff9896
9	#9467bd
