node	1	10	11	12	13	14	15	16	17	18	2	20	3	4	5	6	7	8	9
root	0.11529146478903449	9.973964813229564e-11	9.973964813229645e-11	9.973964813229645e-11	9.973964813229564e-11	9.973964813229564e-11	9.973964813229564e-11	9.973964813229645e-11	9.973964813229645e-11	9.973964813229564e-11	0.11532805753253787	9.973964813229645e-11	0.42325027951012617	9.973964813229564e-11	9.973964813229564e-11	0.3461301966722069	9.973964813229564e-11	9.973964813229564e-11	9.973964813229564e-11
n0	0.11527571159539023	9.968363787795439e-11	9.968363787795439e-11	9.968363787795439e-11	9.968363787795439e-11	9.968363787795439e-11	9.968363787795439e-11	9.968363787795439e-11	9.968363787795439e-11	9.968363787795439e-11	0.1153209334724921	9.968363787795439e-11	0.42326009421463623	9.968363787795439e-11	9.968363787795439e-11	0.34614325922222683	9.968363787795439e-11	9.968363787795439e-11	9.968363787795439e-11
10529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n00	0.11516216854592073	9.962571008201394e-11	9.962571008201394e-11	9.962571008201394e-11	9.962571008201394e-11	9.962571008201394e-11	9.962571008201394e-11	9.962571008201394e-11	9.962571008201394e-11	9.962571008201394e-11	0.11525614189060067	9.962571008201394e-11	0.42331837984442816	9.962571008201394e-11	9.962571008201394e-11	0.3462633082246649	9.962571008201394e-11	9.962571008201394e-11	9.962571008201394e-11
n7	0.11532644325342485	9.960053966151097e-11	9.960053966151097e-11	9.960053966151097e-11	9.960053966151097e-11	9.960053966151097e-11	9.960053966151097e-11	9.960053966151097e-11	9.960053966151097e-11	9.960053966151097e-11	0.11535577846203542	9.960053966151097e-11	0.42322119776675965	9.960053966151097e-11	9.960053966151097e-11	0.34609657902377194	9.960053966151097e-11	9.960053966151097e-11	9.960053966151097e-11
n1	0.11507135520267579	9.951873141006959e-11	9.951873141006959e-11	9.951873141006959e-11	9.951873141006959e-11	9.951873141006959e-11	9.951873141006959e-11	9.951873141006959e-11	9.951873141006959e-11	9.951873141006959e-11	0.11521553578024861	9.951873141006959e-11	0.4232777563537674	9.951873141006959e-11	9.951873141006959e-11	0.34643535117052726	9.951873141006959e-11	9.951873141006959e-11	9.951873141006959e-11
10727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n77	0.1153828943864845	9.955727079307552e-11	9.955727079307552e-11	9.955727079307552e-11	9.955727079307552e-11	9.955727079307552e-11	9.955727079307552e-11	9.955727079307552e-11	9.955727079307552e-11	9.955727079307552e-11	0.11540904575005474	9.955727079307552e-11	0.4230105508201446	9.955727079307552e-11	9.955727079307552e-11	0.3461975075499572	9.955727079307552e-11	9.955727079307552e-11	9.955727079307552e-11
9071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
