node	1	2	3	4	5
root	0.5508389425923187	5.3751426938839246e-11	0.4491610572464271	5.3751426938839246e-11	5.3751426938839246e-11
n0	0.5485244106089908	5.0875692785331876e-11	0.4514755892383821	5.0875692785331876e-11	5.0875692785331876e-11
10529	1.0	0.0	0.0	0.0	0.0
n00	0.5509434890343279	5.1889064899356396e-11	0.4490565108100049	5.1889064899356396e-11	5.1889064899356396e-11
n7	0.5384379120012793	4.868585472586863e-11	0.461562087852663	4.868585472586863e-11	4.868585472586863e-11
n1	0.5440900878230334	5.208265879187798e-11	0.4559099120207187	5.208265879187798e-11	5.208265879187798e-11
10727	1.0	0.0	0.0	0.0	0.0
n77	0.5268239498625148	4.803761655979665e-11	0.47317604999337237	4.803761655979665e-11	4.803761655979665e-11
9071	1.0	0.0	0.0	0.0	0.0
n11	0.3942050157054949	4.3320182858262803e-11	0.6057949841645446	4.3320182858262803e-11	4.3320182858262803e-11
n55	0.992714534306166	1.4826096585068812e-12	0.007285465689386294	1.4826096585068812e-12	1.4826096585068812e-12
n8	0.5251458967060797	5.3288963437965884e-11	0.4748541031340534	5.3288963437965884e-11	5.3288963437965884e-11
n9	0.5176140045437488	4.908532258969279e-11	0.4823859953089953	4.908532258969279e-11	4.908532258969279e-11
10231	0.0	0.0	1.0	0.0	0.0
n2	0.3579940191268834	1.9300877667909014e-11	0.6420059808152141	1.9300877667909014e-11	1.9300877667909014e-11
n6	0.9990279926764642	2.000470299854636e-13	0.0009720073229355714	2.000470299854636e-13	2.000470299854636e-13
10562	1.0	0.0	0.0	0.0	0.0
n88	0.007596443447099317	1.3163032727049878e-12	0.9924035565489518	1.3163032727049878e-12	1.3163032727049878e-12
9126	1.0	0.0	0.0	0.0	0.0
n99	0.3258616101154316	4.914736314972793e-11	0.6741383897371263	4.914736314972793e-11	4.914736314972793e-11
n1010	0.6442796329028223	1.094246426197275e-11	0.3557203670643503	1.094246426197275e-11	1.094246426197275e-11
n22	0.43243692293290864	1.0293362627280538e-11	0.5675630770362112	1.0293362627280538e-11	1.0293362627280538e-11
10792	0.0	0.0	1.0	0.0	0.0
n66	0.9995684817127245	9.256826989097338e-14	0.000431518286997887	9.256826989097338e-14	9.256826989097338e-14
9343	1.0	0.0	0.0	0.0	0.0
10272	0.0	0.0	1.0	0.0	0.0
9399	0.0	0.0	1.0	0.0	0.0
n10	0.004989411162218592	8.910340728275672e-13	0.9950105888351084	8.910340728275672e-13	8.910340728275672e-13
10610	0.0	0.0	1.0	0.0	0.0
n1111	0.625350670904292	9.712950412534859e-12	0.3746493290665691	9.712950412534859e-12	9.712950412534859e-12
10723	1.0	0.0	0.0	0.0	0.0
n3	0.014039048625789552	8.75511031028265e-13	0.9859609513715838	8.75511031028265e-13	8.75511031028265e-13
n4	0.9013153117354947	3.887466247823432e-12	0.09868468825284292	3.887466247823432e-12	3.887466247823432e-12
10268	1.0	0.0	0.0	0.0	0.0
10574	1.0	0.0	0.0	0.0	0.0
10500	0.0	0.0	1.0	0.0	0.0
10702	0.0	0.0	1.0	0.0	0.0
10524	1.0	0.0	0.0	0.0	0.0
n12	0.10461632839988208	3.94794631880639e-12	0.8953836715882741	3.94794631880639e-12	3.94794631880639e-12
10328	0.0	0.0	1.0	0.0	0.0
n33	0.0019827543232643083	2.1534354898470764e-13	0.9980172456760896	2.1534354898470764e-13	2.1534354898470764e-13
n44	0.9822063322226701	1.1446633785695582e-12	0.017793667773895964	1.1446633785695582e-12	1.1446633785695582e-12
n5	0.9985658260631297	1.650197379680011e-13	0.0014341739363752592	1.650197379680011e-13	1.650197379680011e-13
10531	0.0	0.0	1.0	0.0	0.0
10771	0.0	0.0	1.0	0.0	0.0
10794	0.0	0.0	1.0	0.0	0.0
10814	0.0	0.0	1.0	0.0	0.0
10588	1.0	0.0	0.0	0.0	0.0
10638	1.0	0.0	0.0	0.0	0.0
10791	1.0	0.0	0.0	0.0	0.0
10795	1.0	0.0	0.0	0.0	0.0
