node	1	10	11	13	14	15	16	19	2	3	4	5	6	7	8	9
root	0.1755544721855917	3.701221767943292e-11	3.701221767943292e-11	3.701221767943292e-11	3.701221767943292e-11	3.701221767943292e-11	3.701221767943292e-11	3.701221767943292e-11	0.0547817603182522	0.704226344995938	3.701221767943292e-11	3.701221767943292e-11	0.06543742205607153	3.701221767943292e-11	3.701221767943292e-11	3.701221767943292e-11
n0	0.17859696521703547	3.407804597012769e-11	3.407804597012769e-11	3.407804597012769e-11	3.407804597012769e-11	3.407804597012769e-11	3.407804597012769e-11	3.407804597012769e-11	0.054200922187481446	0.7016666744968589	3.407804597012769e-11	3.407804597012769e-11	0.06553543768968773	3.407804597012769e-11	3.407804597012769e-11	3.407804597012769e-11
10529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n00	0.14027678174900096	3.3893590001811076e-11	3.3893590001811076e-11	3.3893590001811076e-11	3.3893590001811076e-11	3.3893590001811076e-11	3.3893590001811076e-11	3.3893590001811076e-11	0.045209073701940355	0.7615547138286897	3.3893590001811076e-11	3.3893590001811076e-11	0.052959430313645986	3.3893590001811076e-11	3.3893590001811076e-11	3.3893590001811076e-11
n7	0.21612111404413736	3.2989850885410294e-11	3.2989850885410294e-11	3.2989850885410294e-11	3.2989850885410294e-11	3.2989850885410294e-11	3.2989850885410294e-11	3.2989850885410294e-11	0.062427628328982486	0.6440183592103131	3.2989850885410294e-11	3.2989850885410294e-11	0.0774328980206888	3.2989850885410294e-11	3.2989850885410294e-11	3.2989850885410294e-11
n1	0.12471999919221978	3.3686668472467004e-11	3.3686668472467004e-11	3.3686668472467004e-11	3.3686668472467004e-11	3.3686668472467004e-11	3.3686668472467004e-11	3.3686668472467004e-11	0.04146406637673116	0.7860537447565433	3.3686668472467004e-11	3.3686668472467004e-11	0.04776218927026572	3.3686668472467004e-11	3.3686668472467004e-11	3.3686668472467004e-11
10727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n77	0.21576703507506514	3.289236725447053e-11	3.289236725447053e-11	3.289236725447053e-11	3.289236725447053e-11	3.289236725447053e-11	3.289236725447053e-11	3.289236725447053e-11	0.06721246032442535	0.6328345883061914	3.289236725447053e-11	3.289236725447053e-11	0.08418591589960973	3.289236725447053e-11	3.289236725447053e-11	3.289236725447053e-11
9071	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n11	0.06791569214916644	2.6339835291037913e-11	2.6339835291037913e-11	2.6339835291037913e-11	2.6339835291037913e-11	2.6339835291037913e-11	2.6339835291037913e-11	2.6339835291037913e-11	0.0244058232789858	0.8815942092557351	2.6339835291037913e-11	2.6339835291037913e-11	0.02608427500003456	2.6339835291037913e-11	2.6339835291037913e-11	2.6339835291037913e-11
