node	1	2	3	4	5	6	7	8	9
root	9.540246305267499e-11	9.540246305267499e-11	0.15070873269124077	0.26973871983946823	9.540246305267499e-11	9.540246305267499e-11	0.15823555659662147	0.42131699039565723	9.540246305267499e-11
n0	9.479542095752873e-11	9.479542095752873e-11	0.15036119289764435	0.2700242161155521	9.479542095752873e-11	9.479542095752873e-11	0.15900941783397168	0.42060517267885467	9.479542095752873e-11
10529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n00	9.467474639023897e-11	9.467474639023897e-11	0.14943096639118764	0.2669117301132048	9.467474639023897e-11	9.467474639023897e-11	0.1619203620773363	0.4217369409448975	9.467474639023897e-11
n7	9.410246313148749e-11	9.410246313148749e-11	0.1507134818776222	0.2730535516529358	9.410246313148749e-11	9.410246313148749e-11	0.15809203964911203	0.4181409263498176	9.410246313148749e-11
n1	9.424615781798036e-11	9.424615781798036e-11	0.14882703991603957	0.2657050057031189	9.424615781798036e-11	9.424615781798036e-11	0.16215754095690318	0.42331041295270755	9.424615781798036e-11
10727	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n77	9.379995090583162e-11	9.379995090583162e-11	0.15115437323830686	0.27532242258400696	9.379995090583162e-11	9.379995090583162e-11	0.15543479932321258	0.4180884043854739	9.379995090583162e-11
9071	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n11	8.543056330894038e-11	8.543056330894038e-11	0.14420108853717062	0.2677424788475249	8.543056330894038e-11	8.543056330894038e-11	0.193612817919894	0.3944436142682576	8.543056330894038e-11
n55	5.0964280416163185e-12	5.096428041616235e-12	0.007843733534943182	0.013730751698186426	5.0964280416163185e-12	5.096428041616235e-12	0.007854428014499024	0.9705710867268892	5.0964280416163185e-12
n8	9.404629756621866e-11	9.404629756621866e-11	0.14824793165961725	0.27864429621440173	9.404629756621866e-11	9.404629756621866e-11	0.15047438256320225	0.4226333890925473	9.404629756621866e-11
n9	9.39739913111706e-11	9.39739913111706e-11	0.15242597866837632	0.2760825745499446	9.39739913111706e-11	9.39739913111706e-11	0.15407966031094456	0.41741178600086465	9.39739913111706e-11
10231	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n2	5.453720285522807e-11	5.453720285522807e-11	0.14327276107280706	0.32157922734061434	5.453720285522807e-11	5.453720285522807e-11	0.16315849456891282	0.37198951674497976	5.453720285522807e-11
n6	1.0697293004965932e-12	1.0697293004965759e-12	0.0016462477915620585	0.002881633762991275	1.0697293004965932e-12	1.0697293004965759e-12	0.0016480229173623673	0.9938240955227357	1.0697293004965932e-12
10562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n88	4.7695867621890215e-12	4.7695867621890215e-12	0.007341350224824785	0.012866374354603607	4.7695867621890215e-12	4.7695867621890215e-12	0.007343553617260272	0.9724487217794635	4.7695867621890215e-12
9126	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n99	8.91354102848848e-11	8.91354102848848e-11	0.19365830069761794	0.2884733839215662	8.91354102848848e-11	8.91354102848848e-11	0.13830609981870634	0.37956221511643234	8.91354102848848e-11
n1010	2.817732646318353e-11	2.817732646318353e-11	0.043392273591715845	0.45675068244194594	2.817732646318353e-11	2.817732646318353e-11	0.043401234498595495	0.45645580932685614	2.817732646318353e-11
n22	3.4285250252218435e-11	3.4285250252218435e-11	0.15908145282413508	0.4052222869038337	3.4285250252218435e-11	3.4285250252218435e-11	0.18271059169681092	0.25298566840379394	3.4285250252218435e-11
10792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n66	5.115496327207944e-13	5.115496327207903e-13	0.0007870635616161451	0.001377449195821165	5.115496327207944e-13	5.115496327207903e-13	0.0007872865857377776	0.9970482006542672	5.115496327207944e-13
9343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
10272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
9399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n10	1.5442544789534053e-12	1.5442544789534053e-12	0.9868814611463846	0.004205777092035504	1.5442544789534053e-12	1.5442544789534053e-12	0.0023769429588958355	0.006535818794962716	1.5442544789534053e-12
10610	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n1111	2.5010401549067997e-11	2.5010401549067997e-11	0.03851150209672681	0.49074646788888204	2.5010401549067997e-11	2.5010401549067997e-11	0.03851865582331045	0.43222337406602873	2.5010401549067997e-11
10723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n3	1.4454826100184073e-11	1.4454826100184073e-11	0.39257593247833117	0.07678674478655365	1.4454826100184073e-11	1.4454826100184073e-11	0.456419989195355	0.07421733346748607	1.4454826100184073e-11
n4	1.925298018409851e-11	1.925298018409851e-11	0.060895262195038595	0.6490853311882495	1.925298018409851e-11	1.925298018409851e-11	0.067845079582587	0.2221743269378599	1.925298018409851e-11
10268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
10574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
10500	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10702	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10524	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n12	1.8026056855169715e-11	1.8026056855169715e-11	0.027743927831599943	0.4629451307691705	1.8026056855169715e-11	1.8026056855169715e-11	0.027746357116789917	0.4815645841923094	1.8026056855169715e-11
10328	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n33	2.4963823305141746e-12	2.4963823305141746e-12	0.9459444307013682	0.00929185677578817	2.4963823305141746e-12	2.4963823305141746e-12	0.03331535075519604	0.01144836175516558	2.4963823305141746e-12
n44	1.367093171024948e-11	1.367093171024948e-11	0.03318186546356618	0.6411716456308264	1.367093171024948e-11	1.367093171024948e-11	0.03588169433061118	0.28976479450664167	1.367093171024948e-11
n5	6.08727975588479e-13	6.08727975588479e-13	0.0011572831826533823	0.9940676191498772	6.08727975588479e-13	6.08727975588479e-13	0.0012063433466064206	0.00356875431781941	6.08727975588479e-13
10531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
10771	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
10794	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10814	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
10638	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
10791	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
10795	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
