node	1	2	3	4
root	0.7127543538295481	9.080735957416531e-11	0.2872456459888372	9.080735957416531e-11
n0	0.7128893863209212	8.977501330526734e-11	0.28711061349952877	8.977501330526734e-11
10529	1.0	0.0	0.0	0.0
n00	0.7102995702503361	8.97522796925045e-11	0.28970042957015935	8.97522796925045e-11
n7	0.7143588123403476	8.869622241950167e-11	0.2856411874822599	8.869622241950167e-11
n1	0.7077268915938137	8.926502491167201e-11	0.29227310822765623	8.926502491167201e-11
10727	1.0	0.0	0.0	0.0
n77	0.7138052466856324	8.826571489427998e-11	0.2861947531378362	8.826571489427998e-11
9071	1.0	0.0	0.0	0.0
n11	0.7401382052477564	7.825119279432509e-11	0.2598617945957412	7.825119279432509e-11
n55	0.20322152209725172	7.602529482502365e-12	0.7967784778875432	7.602529482502365e-12
n8	0.7024489856996572	8.915462285336264e-11	0.29755101412203355	8.915462285336264e-11
n9	0.715492375281481	8.858314261845493e-11	0.2845076245413527	8.858314261845493e-11
10231	1.0	0.0	0.0	0.0
n2	0.7644479315971912	4.4848796619933006e-11	0.23555206831311135	4.4848796619933006e-11
n6	0.21837588864509963	4.478215523081526e-12	0.781624111345944	4.478215523081526e-12
10562	0.0	0.0	1.0	0.0
n88	0.019215553542501134	2.7032279241464938e-12	0.9807844464520924	2.7032279241464938e-12
9126	1.0	0.0	0.0	0.0
n99	0.7530000483993256	8.330494694900174e-11	0.24699995143406447	8.330494694900174e-11
n1010	0.7770646328242715	2.4224901690332382e-11	0.22293536712727868	2.4224901690332382e-11
n22	0.9014454078442179	2.298512622118623e-11	0.09855459210981181	2.298512622118623e-11
10792	0.0	0.0	1.0	0.0
n66	0.02237602974881774	8.890659255156798e-13	0.9776239702494041	8.890659255156798e-13
9343	1.0	0.0	0.0	0.0
10272	0.0	0.0	1.0	0.0
9399	0.0	0.0	1.0	0.0
n10	0.9887774962227841	3.842578151012831e-12	0.011222503769530663	3.842578151012831e-12
10610	1.0	0.0	0.0	0.0
n1111	0.7676592072224471	2.2031366272604745e-11	0.2323407927334902	2.2031366272604745e-11
10723	1.0	0.0	0.0	0.0
n3	0.9882465533612513	3.4655377735655546e-12	0.011753446631817528	3.4655377735655546e-12
n4	0.9311991075860614	1.8957750603412326e-11	0.06880089237602305	1.8957750603412326e-11
10268	0.0	0.0	1.0	0.0
10574	0.0	0.0	1.0	0.0
10500	1.0	0.0	0.0	0.0
10702	1.0	0.0	0.0	0.0
10524	0.0	0.0	1.0	0.0
n12	0.9293781723209663	1.0680259891857133e-11	0.07062182765767323	1.0680259891857133e-11
10328	1.0	0.0	0.0	0.0
n33	0.9947246931582525	1.7138480473406209e-12	0.005275306838319759	1.7138480473406209e-12
n44	0.9764274382757269	6.960580807233762e-12	0.023572561710351957	6.960580807233762e-12
n5	0.8170472572205179	6.046759099618649e-11	0.1829527426585469	6.046759099618649e-11
10531	1.0	0.0	0.0	0.0
10771	1.0	0.0	0.0	0.0
10794	1.0	0.0	0.0	0.0
10814	1.0	0.0	0.0	0.0
10588	1.0	0.0	0.0	0.0
10638	1.0	0.0	0.0	0.0
10791	0.8015006054509075	6.612092934796972e-11	0.19849939441685063	6.612092934796972e-11
10795	0.8015006054509075	6.612092934796972e-11	0.19849939441685063	6.612092934796972e-11
