node	1	15	16	19	2	3	4	5	7	8	9
root	0.9230769222461539	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	0.07692307685384611	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11
n0	0.9230769222461539	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	0.07692307685384611	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11
10529	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n00	0.9230769222461539	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	0.07692307685384611	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11
n7	0.9230769222461539	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	0.07692307685384611	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11
n1	0.9230769222461539	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	0.07692307685384611	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11
10727	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n77	0.9230769222461539	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	0.07692307685384611	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11
9071	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n11	0.9230769222465349	9.999999990950504e-11	9.999999990950504e-11	9.999999990950504e-11	9.999999990950504e-11	0.07692307685346522	9.999999990950504e-11	9.999999990950504e-11	9.999999990950504e-11	9.999999990950504e-11	9.999999990950504e-11
n55	0.8918333302711958	9.573825101767105e-11	9.573825101767105e-11	9.573825101767105e-11	9.573825101767105e-11	0.10816666886716005	9.573825101767105e-11	9.573825101767105e-11	9.573825101767105e-11	9.573825101767105e-11	9.573825101767105e-11
n8	0.9230769222461539	9.999999990999999e-11	9.999999990999999e-11	9.999999990999999e-11	9.999999990999999e-11	0.07692307685384611	9.999999990999999e-11	9.999999990999999e-11	9.999999990999999e-11	9.999999990999999e-11	9.999999990999999e-11
n9	0.9230769222461539	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	0.07692307685384611	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11	9.999999991000039e-11
10231	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n2	0.9230770636484432	9.99998160870259e-11	9.99998160870259e-11	9.99998160870259e-11	9.99998160870259e-11	0.07692293545155837	9.99998160870259e-11	9.99998160870259e-11	9.99998160870259e-11	9.99998160870259e-11	9.99998160870259e-11
n6	0.8232977982416143	8.677816676092003e-11	8.677816676091967e-11	8.677816676091967e-11	8.677816676092003e-11	0.17670220097738243	8.677816676091967e-11	8.677816676091967e-11	8.677816676092003e-11	8.677816676091967e-11	8.677816676092003e-11
10562	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n88	0.9327695549514341	8.739957754056107e-11	8.739957754056107e-11	8.739957754056107e-11	8.739957754056107e-11	0.06723044426196989	8.739957754056107e-11	8.739957754056107e-11	8.739957754056107e-11	8.739957754056107e-11	8.739957754056107e-11
9126	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n99	0.9230769222466694	9.999999990933044e-11	9.999999990933044e-11	9.999999990933044e-11	9.999999990933044e-11	0.07692307685333076	9.999999990933044e-11	9.999999990933044e-11	9.999999990933044e-11	9.999999990933044e-11	9.999999990933044e-11
n1010	0.9229927691553907	9.997550874813957e-11	9.997550874813957e-11	9.997550874813957e-11	9.997550874813957e-11	0.07700722994482964	9.997550874813957e-11	9.997550874813957e-11	9.997550874813957e-11	9.997550874813957e-11	9.997550874813957e-11
n22	0.9230895009290663	9.998364762240554e-11	9.998364762240554e-11	9.998364762240554e-11	9.998364762240554e-11	0.076910498171081	9.998364762240554e-11	9.998364762240554e-11	9.998364762240554e-11	9.998364762240554e-11	9.998364762240554e-11
10792	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n66	0.9250168036502404	8.09922515411935e-11	8.09922515411935e-11	8.09922515411935e-11	8.09922515411935e-11	0.07498319562082946	8.09922515411935e-11	8.09922515411935e-11	8.09922515411935e-11	8.09922515411935e-11	8.09922515411935e-11
9343	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
10272	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9399	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n10	0.9373668217465173	8.142313077687685e-11	8.142313077687685e-11	8.142313077687685e-11	8.142313077687685e-11	0.06263317752067449	8.142313077687685e-11	8.142313077687685e-11	8.142313077687685e-11	8.142313077687685e-11	8.142313077687685e-11
10610	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
