state	colour
1	#1f77b4
10	#c5b0d5
11	#8c564b
13	#e377c2
17	#bcbd22
18	#dbdb8d
19	#17becf
2	#aec7e8
3	#ff7f0e
4	#ffbb78
5	#2ca02c
6	#98df8a
7	#d62728
8	#ff9896
