node	1	2	3	4	5	6	7	8
root	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	0.9999999992999999
n0	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	0.9999999992999999
10529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n00	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	0.9999999992999999
n7	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	0.9999999992999999
n1	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	0.9999999992999999
10727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n77	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	0.9999999992999999
9071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	0.9999999992999999
n55	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
n8	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
n9	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	0.9999999992999999
10231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n2	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	0.9999999992999999
n6	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
10562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n88	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
9126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n99	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
n1010	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
n22	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	9.999999992999995e-11	0.9999999992999999
10792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n66	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
9343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
9399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n10	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
10610	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1111	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
10723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n3	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
n4	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
10268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n12	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
10328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n33	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
n44	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
n5	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	9.999999992999996e-11	0.9999999992999999
10531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
