node	1	2	3	4
root	0.021469895903172498	0.07545415659565724	0.903075941568205	5.9329653144912446e-09
n0	0.01578965282617219	0.060383420751581415	0.9238269229713967	3.450849620182645e-09
10529	0.0	1.0	0.0	0.0
n00	0.011829902930040735	0.03541420734727264	0.9527558865061068	3.216579894401469e-09
n7	0.017695199699215076	0.05920396579153742	0.9231008315617572	2.9474904247215655e-09
n1	0.011065301781661025	0.028307896306204058	0.9606267985940296	3.3181053907721745e-09
10727	0.0	0.0	1.0	0.0
n77	0.020504450859884497	0.062343956153964826	0.917151589923199	3.062951662248354e-09
9071	0.0	0.0	1.0	0.0
n11	0.008482046910653388	0.010679602126003615	0.9808383477120707	3.2512722862107213e-09
n55	0.00033456588466299184	0.0002954414849424623	0.9993699924940709	1.3632367774358248e-10
n8	0.020857431659547506	0.04695598996513035	0.9321865733370895	5.038232533706755e-09
n9	0.03203343691955589	0.07799198316967035	0.8899745753764424	4.5343314055579465e-09
10231	0.0	0.0	1.0	0.0
n2	0.001819116898157485	0.001671726639982809	0.9965091557248312	7.370285947575601e-10
n6	2.4001989754492387e-05	2.045950662958886e-05	0.9999555384937887	9.827208083795516e-12
10562	0.0	0.0	1.0	0.0
n88	0.0003770797258726445	0.00036089883061057746	0.9992620212954343	1.480824200379088e-10
9126	0.0	0.0	1.0	0.0
n99	0.19786860566010714	0.04917318914193481	0.7529581921969983	1.3000959752868343e-08
n1010	0.0017046985363851636	0.9965734619437695	0.0017218393904443582	1.29400998371059e-10
n22	0.00027195775402967434	0.0002285360753298939	0.9994995060590811	1.1155936974624901e-10
10792	0.0	0.0	1.0	0.0
n66	1.6235100439988052e-05	1.254070914460932e-05	0.9999712241836849	6.730572775971316e-12
9343	0.0	0.0	1.0	0.0
10272	0.0	0.0	1.0	0.0
9399	0.0	0.0	1.0	0.0
n10	0.9985490991307816	0.00018429422700749312	0.0012666065573039536	8.49069430132114e-11
10610	0.0	0.0	1.0	0.0
n1111	0.0016201373118178545	0.9976727321428236	0.0007071304899686876	5.5389949308971086e-11
10723	0.0	1.0	0.0	0.0
n3	5.806037265240976e-05	4.480707125517977e-05	0.9998971325320197	2.4072697298336918e-11
n4	0.00011523430931980248	8.992448481510293e-05	0.999794841158151	4.771399218864585e-11
10268	0.0	0.0	1.0	0.0
10574	0.0	0.0	1.0	0.0
10500	1.0	0.0	0.0	0.0
10702	1.0	0.0	0.0	0.0
10524	0.0	1.0	0.0	0.0
n12	0.014174000542338557	0.9843568784406943	0.0014691208063187554	2.1064839009313382e-10
10328	0.0	0.0	1.0	0.0
n33	3.487855435858722e-05	2.6760217062933872e-05	0.9999383612141073	1.4471233837820214e-11
n44	7.086804955937151e-05	5.447333405374551e-05	0.99987465858699	2.939694306896642e-11
n5	2.0947217381670252e-05	1.6069691358267498e-05	0.9999629830825689	8.691192285823156e-12
10531	0.0	1.0	0.0	0.0
10771	1.0	0.0	0.0	0.0
10794	0.0	0.0	1.0	0.0
10814	0.0	0.0	1.0	0.0
10588	0.0	0.0	1.0	0.0
10638	0.0	0.0	1.0	0.0
10791	0.0	0.0	1.0	0.0
10795	0.0	0.0	1.0	0.0
