node	1	2	3	4	5
root	5.459252269923373e-11	0.9486305635846547	0.051369436251567445	5.459252269923373e-11	5.459252269923373e-11
n0	5.175056702900857e-11	0.9473545118519765	0.052645487992771516	5.175056702900857e-11	5.175056702900857e-11
10529	0.0	1.0	0.0	0.0	0.0
n00	5.232671949941556e-11	0.9572431125535686	0.04275688728945112	5.232671949941556e-11	5.232671949941556e-11
n7	4.985763983696944e-11	0.9378231347407652	0.062176865109661694	4.985763983696944e-11	4.985763983696944e-11
n1	5.225711652247648e-11	0.9614849226065294	0.03851507723669904	5.225711652247648e-11	5.225711652247648e-11
10727	0.0	1.0	0.0	0.0	0.0
n77	4.936456001106603e-11	0.9323958132009194	0.06760418665098716	4.936456001106603e-11	4.936456001106603e-11
9071	0.0	1.0	0.0	0.0	0.0
n11	4.275308122985841e-11	0.9786550789937544	0.021344920877986354	4.275308122985841e-11	4.275308122985841e-11
n55	2.4076902051353492e-12	0.9990131504766359	0.0009868495161411812	2.4076902051353492e-12	2.4076902051353492e-12
n8	5.513818460681525e-11	0.8970731929859436	0.10292680684864196	5.513818460681525e-11	5.513818460681525e-11
n9	5.033440408707587e-11	0.9368178398780391	0.0631821599709574	5.033440408707587e-11	5.033440408707587e-11
10231	0.0	1.0	0.0	0.0	0.0
n2	1.5756820141611807e-11	0.9932811925054152	0.006718807447314512	1.5756820141611807e-11	1.5756820141611807e-11
n6	5.153840987098534e-13	0.9997911713860852	0.00020882861236838358	5.153840987098534e-13	5.153840987098534e-13
10562	0.0	1.0	0.0	0.0	0.0
n88	2.350509392136007e-12	0.9987892580449501	0.0012107419479984477	2.350509392136007e-12	2.350509392136007e-12
9126	0.0	0.0	1.0	0.0	0.0
n99	5.191015478165413e-11	0.9690205874112277	0.030979412433041875	5.191015478165413e-11	5.191015478165413e-11
n1010	5.996661083794074e-12	0.9972884964905817	0.0027115034914285173	5.996661083794074e-12	5.996661083794074e-12
n22	5.19747826501325e-12	0.9978620263510686	0.002137973633338987	5.19747826501325e-12	5.197478265013229e-12
10792	0.0	1.0	0.0	0.0	0.0
n66	2.707484598391033e-13	0.9998944590527697	0.00010554094641810999	2.707484598391033e-13	2.707484598391033e-13
9343	0.0	1.0	0.0	0.0	0.0
10272	0.0	1.0	0.0	0.0	0.0
9399	0.0	1.0	0.0	0.0	0.0
n10	1.7061344065229985e-12	0.9992818821763282	0.0007181178185534531	1.7061344065229985e-12	1.7061344065229985e-12
10610	0.0	1.0	0.0	0.0	0.0
n1111	4.6854589487383075e-12	0.9979075229771449	0.002092477008798915	4.6854589487383075e-12	4.6854589487383075e-12
10723	0.0	1.0	0.0	0.0	0.0
n3	9.646123479183132e-13	0.9996225301826278	0.0003774698144784406	9.646123479183132e-13	9.646123479183132e-13
n4	2.4204727569598577e-12	0.9990382349104289	0.0009617650823097047	2.4204727569598577e-12	2.4204727569598577e-12
10268	0.0	1.0	0.0	0.0	0.0
10574	0.0	1.0	0.0	0.0	0.0
10500	0.0	1.0	0.0	0.0	0.0
10702	0.0	1.0	0.0	0.0	0.0
10524	0.0	1.0	0.0	0.0	0.0
n12	2.431676937826497e-12	0.9990027719508994	0.000997228041805664	2.431676937826497e-12	2.431676937826497e-12
10328	0.0	1.0	0.0	0.0	0.0
n33	5.487494292818599e-13	0.9997880002363096	0.00021199976204378998	5.487494292818599e-13	5.487494292818599e-13
n44	1.2588532352341098e-12	0.9995092210429816	0.0004907789532417297	1.2588532352341098e-12	1.2588532352341098e-12
n5	2.8773473248838493e-13	0.9998889073500329	0.00011109264910403978	2.8773473248838493e-13	2.8773473248838493e-13
10531	0.0	1.0	0.0	0.0	0.0
10771	0.0	1.0	0.0	0.0	0.0
10794	0.0	1.0	0.0	0.0	0.0
10814	0.0	1.0	0.0	0.0	0.0
10588	0.0	1.0	0.0	0.0	0.0
10638	0.0	1.0	0.0	0.0	0.0
10791	0.0	1.0	0.0	0.0	0.0
10795	0.0	1.0	0.0	0.0	0.0
