ref_lcb_start,ref_lcb_stop,ref_lcb_strand,query_lcb_start,query_lcb_stop,query_lcb_strand,lcb_num,length_ratio,ref_strain,query_strain
1,54586,1,1,55260,1,0,0.987802891836624,FA1090,10296
54618,55342,1,1933078,1933786,-1,1,1.0225988700564972,FA1090,10296
55352,187801,1,56014,187072,1,2,1.010613621450045,FA1090,10296
187804,462686,1,256142,532365,1,3,0.995145226863802,FA1090,10296
472308,1069985,1,543501,1206504,1,4,0.901469525778918,FA1090,10296
1085317,1105148,1,1649014,1668854,1,5,0.9995463709677419,FA1090,10296
1109715,1148068,1,1606864,1645072,1,6,1.0037950167504188,FA1090,10296
1149139,1218179,1,187690,256139,-1,7,1.0086341655831348,FA1090,10296
1219875,1591352,1,1220643,1592369,1,8,0.9993301517784605,FA1090,10296
1591359,1600458,1,533188,541919,1,9,1.042148665674035,FA1090,10296
1602697,1717300,1,1668859,1783378,1,10,1.000733502737537,FA1090,10296
1717305,1890642,1,1933857,2107261,-1,11,0.9996136190629974,FA1090,10296
1891469,2043400,1,1783698,1933075,-1,12,1.0170976790268917,FA1090,10296
2047523,2155339,1,2107630,2216240,1,13,0.9926894392781512,FA1090,10296
1,1069996,1,1,1129852,1,0,0.9470231030463309,FA1090,10328
1084598,1105252,1,1643097,1663752,1,1,0.9999515855725006,FA1090,10328
1109719,1603120,1,1146938,1641366,1,2,0.9979228522656484,FA1090,10328
1603126,2155339,1,1664082,2213728,1,3,1.004670278688465,FA1090,10328
1,470301,1,1,474360,1,0,0.9914431896517195,FA1090,10500
470304,1064572,1,474365,1129330,-1,1,0.9073278724817356,FA1090,10500
1084508,2155339,1,1148325,2214782,1,2,1.0041014311875678,FA1090,10500
1,2155339,1,1,2207788,1,0,0.9762436321982148,FA1090,10524
1,1069985,1,1,1132188,1,0,0.9450594292285638,FA1090,10529
1085317,1107825,1,1260450,1282957,1,1,1.0000444306215843,FA1090,10529
1109888,1219933,1,1149243,1259430,1,2,0.9987112817301497,FA1090,10529
1220951,2155339,1,1283159,2211604,1,3,1.0064010253703775,FA1090,10529
1,470301,1,1,474330,1,0,0.9915058956968686,FA1090,10531
470304,1064572,1,474335,1129818,-1,1,0.9066108503195354,FA1090,10531
1085361,2155339,1,1149815,2214951,1,2,1.0045458983641526,FA1090,10531
1,187800,1,1,186957,1,0,1.0045090823509275,FA1090,10536
187803,467726,1,256026,537301,1,1,0.9951933161496755,FA1090,10536
468526,1067341,1,537306,1201693,-1,2,0.9013045107745937,FA1090,10536
1070480,1072613,1,1597302,1599436,-1,3,0.9995313964386129,FA1090,10536
1085316,1148069,1,1609680,1672382,1,4,1.0008133711843323,FA1090,10536
1149140,1217000,1,188030,256023,-1,5,0.9980439162854999,FA1090,10536
1222812,1591355,1,1223695,1597300,1,6,0.9864509307958941,FA1090,10536
1591359,1594716,1,1205377,1208251,-1,7,1.1680584551148225,FA1090,10536
1602152,1717255,1,1672929,1788381,1,8,0.996977098707688,FA1090,10536
1717260,2044876,1,1788764,2118683,-1,9,0.9930194987254447,FA1090,10536
2047519,2155339,1,2119004,2227438,1,10,0.9943375693970525,FA1090,10536
1,187800,1,1,186958,1,0,1.0045037094091154,FA1090,10537
187803,470285,1,256027,540020,1,1,0.9946794463243812,FA1090,10537
470290,1064572,1,540041,1200182,-1,2,0.9002349498061778,FA1090,10537
1070480,1072613,1,1597568,1599702,-1,3,0.9995313964386129,FA1090,10537
1084806,1148069,1,1609438,1672655,1,4,1.0007276523719886,FA1090,10537
1149140,1217000,1,188031,256024,-1,5,0.9980439162854999,FA1090,10537
