DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	for_nanopore_sequencing
COLOR	#e95e0d

LEGEND_TITLE	for_nanopore_sequencing
LEGEND_SHAPES	1	1
LEGEND_COLORS	#fdb97d	#e95e0d
LEGEND_LABELS	N	Y

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
CCC026	#fdb97d	N
CCC027	#fdb97d	N
CCC028	#e95e0d	Y
CCC029	#fdb97d	N
CCC030	#e95e0d	Y
CCC031	#fdb97d	N
CCC032	#fdb97d	N
CCC033	#e95e0d	Y
CCC034	#fdb97d	N
CCC035	#fdb97d	N
CCC036	#fdb97d	N
CCC037	#fdb97d	N
CCC038	#fdb97d	N
CCC039	#fdb97d	N
CCC040	#e95e0d	Y
CCC041	#fdb97d	N
CCC042	#fdb97d	N
CCC043	#fdb97d	N
CCC044	#fdb97d	N
CCC045	#fdb97d	N
CCC046	#fdb97d	N
CCC047	#fdb97d	N
CCC048	#e95e0d	Y
CCC049	#fdb97d	N
CCC050	#e95e0d	Y
CT213	#fdb97d	N
CT530	#fdb97d	N
CT532	#fdb97d	N
CT602	#fdb97d	N
DDD001	#e95e0d	Y
DDD002	#fdb97d	N
DDD003	#fdb97d	N
DDD004	#fdb97d	N
DDD005	#e95e0d	Y
DDD006	#fdb97d	N
DDD007	#fdb97d	N
DDD008	#e95e0d	Y
DDD009	#fdb97d	N
DDD010	#fdb97d	N
DDD011	#fdb97d	N
DDD012	#fdb97d	N
DDD013	#fdb97d	N
DDD014	#fdb97d	N
DDD015	#fdb97d	N
DDD016	#fdb97d	N
DDD017	#fdb97d	N
DDD018	#fdb97d	N
DDD019	#fdb97d	N
DDD020	#fdb97d	N
DDD021	#fdb97d	N
DDD022	#fdb97d	N
DDD023	#fdb97d	N
DDD024	#fdb97d	N
DDD025	#fdb97d	N
DDD026	#e95e0d	Y
DDD027	#fdb97d	N
DDD028	#fdb97d	N
DDD029	#e95e0d	Y
DDD030	#fdb97d	N
DDD031	#fdb97d	N
DDD032	#fdb97d	N
DDD033	#e95e0d	Y
DDD034	#e95e0d	Y
DDD035	#fdb97d	N
DDD036	#fdb97d	N
DDD037	#fdb97d	N
DDD038	#fdb97d	N
DDD039	#fdb97d	N
DDD040	#fdb97d	N
DDD041	#fdb97d	N
DDD042	#fdb97d	N
DDD043	#fdb97d	N
DDD044	#fdb97d	N
DDD045	#fdb97d	N
DDD046	#fdb97d	N
DDD047	#fdb97d	N
DDD048	#fdb97d	N
DDD049	#fdb97d	N
DDD050	#fdb97d	N
EEE001	#e95e0d	Y
EEE002	#fdb97d	N
EEE003	#fdb97d	N
EEE004	#fdb97d	N
EEE005	#fdb97d	N
EEE006	#fdb97d	N
EEE007	#fdb97d	N
EEE008	#fdb97d	N
EEE009	#fdb97d	N
EEE010	#fdb97d	N
EEE011	#fdb97d	N
EEE012	#fdb97d	N
EEE013	#fdb97d	N
EEE014	#e95e0d	Y
EEE015	#e95e0d	Y
EEE016	#e95e0d	Y
EEE017	#e95e0d	Y
EEE018	#fdb97d	N
EEE019	#e95e0d	Y
EEE020	#fdb97d	N
EEE021	#e95e0d	Y
EEE022	#e95e0d	Y
EEE023	#e95e0d	Y
EEE024	#fdb97d	N
EEE025	#e95e0d	Y
EEE026	#e95e0d	Y
EEE027	#e95e0d	Y
EEE028	#e95e0d	Y
EEE029	#e95e0d	Y
EEE030	#e95e0d	Y
EEE031	#e95e0d	Y
EEE032	#fdb97d	N
EEE033	#fdb97d	N
EEE034	#e95e0d	Y
EEE035	#e95e0d	Y
EEE036	#e95e0d	Y
EEE037	#e95e0d	Y
EEE038	#fdb97d	N
EEE039	#fdb97d	N
EEE040	#fdb97d	N
EEE041	#fdb97d	N
EEE042	#fdb97d	N
EEE043	#e95e0d	Y
EEE044	#fdb97d	N
EEE045	#fdb97d	N
EEE046	#fdb97d	N
EEE047	#e95e0d	Y
